init,Compacidad,Tolerancia,Hamming,Balance
random_dense,287.0,63.0,0.3860089702720735,0.0030084806443541
random_dense,298.0,73.0,0.3961486743776476,0.003392800436988
random_dense,366.0,78.0,0.3551767236367864,0.0024906821320305
random_dense,364.0,86.0,0.3720846972176759,0.003129010419847
random_dense,290.0,70.0,0.3781609195402299,0.0029472118917308
random_dense,260.0,61.0,0.3759035733769776,0.0030157547499151
random_dense,335.0,77.0,0.3938234360114321,0.0034836503919192
random_dense,334.0,74.0,0.3516610396228819,0.0022991640472791
random_dense,239.0,53.0,0.3838949226980029,0.0034731081486947
random_dense,257.0,51.0,0.3730199795788834,0.0026862013033134
random_dense,237.0,43.0,0.3702830894454918,0.0028148562813416
random_dense,345.0,78.0,0.3851654846335697,0.0031456330190362
random_dense,323.0,69.0,0.3589464901302066,0.0023755651593341
random_dense,282.0,57.0,0.3811522307730999,0.0028860967414173
random_dense,289.0,70.0,0.3870432403249159,0.0032979288718612
random_dense,287.0,63.0,0.3751637136432155,0.0026943991050798
random_dense,372.0,84.0,0.3597622588271181,0.0026807920009578
random_dense,261.0,61.0,0.3951013559414146,0.0037949311411921
random_dense,280.0,65.0,0.4022036474164134,0.0038043963624381
random_dense,304.0,64.0,0.3807711599477417,0.0027802416263317
random_dense,240.0,53.0,0.3919141548463357,0.003733116325448
random_dense,315.0,76.0,0.4018405943937859,0.003964705359702
random_dense,311.0,71.0,0.3753848258876651,0.0026968927084078
random_dense,384.0,86.0,0.3686650413711583,0.0028582205711985
random_dense,345.0,77.0,0.3733425840271353,0.0027115728154035
random_dense,304.0,73.0,0.4017386384845092,0.0037340441725996
random_dense,259.0,56.0,0.3858402475423751,0.0030768201086712
random_dense,263.0,57.0,0.3980833535582342,0.0036875544167894
random_dense,239.0,50.0,0.3931385204308733,0.0034988747413763
random_dense,341.0,83.0,0.3945581414696033,0.0037830968989215
random_dense,357.0,84.0,0.3911660408844389,0.003549757160281
random_dense,243.0,53.0,0.361972098181712,0.0027255601177222
greedy_ting,30.0,4.0,0.4292553191489361,0.0072016519122109
greedy_ting,11.0,0.0,0.4560767246937459,0.0194059548424696
greedy_ting,364.0,80.0,0.3497924947393032,0.0025199827033507
greedy_ting,126.0,31.0,0.4387875717662952,0.0047026096848432
greedy_ting,148.0,27.0,0.3745866877515814,0.0030358043373388
greedy_ting,82.0,14.0,0.3759730150492994,0.0038144456542005
greedy_ting,31.0,2.0,0.3060512468542667,0.0047747122171927
greedy_ting,13.0,0.0,0.4034369885433715,0.0149212518627847
greedy_ting,14.0,0.0,0.5083586626139818,0.0175158904666438
greedy_ting,13.0,0.0,0.3460856519367157,0.0136493301936463
greedy_ting,243.0,55.0,0.381059743746899,0.0031374543165443
greedy_ting,297.0,64.0,0.3424821501062636,0.0022750688498954
greedy_ting,16.0,0.0,0.2780917553191489,0.0087652360401812
greedy_ting,23.0,2.0,0.50304502004317,0.0106893563370294
greedy_ting,177.0,36.0,0.3356022358456545,0.002345363888251
greedy_ting,95.0,16.0,0.3166666666666666,0.002865578934271
greedy_ting,42.0,5.0,0.3914640324214792,0.0054860700504737
greedy_ting,9.0,0.0,0.5087667454688731,0.0258840933026816
greedy_ting,20.0,1.0,0.3568262411347517,0.0085260974674313
greedy_ting,234.0,50.0,0.3413347881432987,0.0023344962134606
