algorithm,init,crossover,run,seed,elapsed_sec,n_solutions_final_front,n_infeasible_final_front,Range,SumMin,MinSum,Hypervolume,IGD+,GD+,MaxToleranceRate,AvgToleranceRate,AvgHammingDistance,avg_h_norm
NSGA3,random_dense,UX,1,984052110,239.05083775520325,34,0,0.2773309725744597,1.5557596561599556,1.5852499867710612,0.10099230712394289,0.5345753549195746,0.685611877871074,0.0013020833333333333,0.0007259336598860557,0.4144388311728524,0.0005368378642135394
NSGA3,random_dense,UX,2,1951722157,249.28815865516663,31,0,0.2401580060245914,1.5589819361977988,1.5894035243865738,0.10000323187438999,0.5510242985612539,0.6868570912269402,0.0012494793835901706,0.0006877062693604323,0.41592641438635125,0.0005387647854745482
NSGA3,random_dense,UX,3,1500307640,232.7266526222229,37,0,0.32731190163409346,1.5204799537939895,1.5552178722096013,0.11293340048484678,0.4577546371162643,0.6384427693308953,0.0019723865877712033,0.0009748182105094056,0.4212137025452082,0.0005456136043331712
NSGA3,random_dense,UX,4,2027825227,218.73241138458252,38,0,0.3259416029200772,1.543437977289295,1.5745902510280019,0.10423614158702164,0.5051655836307197,0.6766558977428182,0.0014177693761814744,0.0007353617781933627,0.41997096599077777,0.000544003841956966
NSGA3,random_dense,UX,5,150173946,248.90737342834473,34,0,0.31779198465526276,1.5556883856720993,1.581968752302452,0.10066101976509302,0.5239186444982777,0.6813601456243968,0.0012494793835901706,0.0006813117274522901,0.41918310377018575,0.0005429832950391007
NSGA3,greedy_multi,UX,1,1994472480,243.12874007225037,54,0,0.4535159843310778,1.3028360167261692,1.3481900702883665,0.23268658412234475,0.015720572719787815,0.23610621743047625,0.02040816326530612,0.01131543291317743,0.470215641948663,0.0006090876191044858
NSGA3,greedy_multi,UX,2,814658880,245.79233980178833,55,0,0.44129255748669066,1.3182529486424441,1.3569834141263575,0.22170563790243783,0.0060087894029267775,0.2805646917504085,0.02040816326530612,0.010492503142145377,0.46059532096365186,0.0005966260634244195
NSGA3,greedy_multi,UX,3,363244363,244.76731157302856,56,0,0.47877836325049805,1.2995098798860865,1.3569834141263575,0.23309313396014295,0.012157275931526105,0.2706679783913089,0.02040816326530612,0.010437215881559356,0.46360635731096,0.0006005263695737824
NSGA3,greedy_multi,UX,4,890761950,248.62291765213013,61,0,0.45066135249732164,1.3166134012364257,1.3564791862947594,0.22205516173291945,0.004206152582048692,0.27853136880160173,0.02040816326530612,0.0102407387264779,0.46108671908906157,0.0005972625894936031
NSGA3,greedy_multi,UX,5,1160594316,261.3454406261444,60,0,0.4446635277152561,1.3171728910232494,1.3569834141263575,0.2218861444701365,0.009013184104389903,0.2694111822032091,0.02040816326530612,0.010531857502175532,0.462928362278153,0.0005996481376660013
MOEAD_TCHE,random_dense,UX,1,1066552869,509.4563386440277,97,95,0.11100711528401193,1.862289579801978,1.8823523567088933,0.05171909124128923,1.1465178984539188,1.1899295070143048,7.889546351084813e-05,6.602891916270442e-05,0.37500911788674995,0.00048576310607091963
MOEAD_TCHE,random_dense,UX,2,2034222916,497.4468855857849,91,84,0.14184766591083325,1.8633338736111815,1.8947903665100372,0.05149616638934052,1.1812999623431686,1.2330098928349291,7.971091508130513e-05,6.214490647179267e-05,0.36764397271269605,0.00047622276258121253
MOEAD_TCHE,random_dense,UX,3,1582808399,513.69935131073,103,91,0.10658876212768553,1.8438975413827816,1.866447174981438,0.053343072986047776,1.1138075137329468,1.1513292594441495,8.958165367732689e-05,7.45059159996792e-05,0.3764009931766298,0.00048756605333760336
MOEAD_TCHE,random_dense,UX,4,2110325986,493.5177655220032,93,85,0.08410960654205402,1.8906743586140233,1.9083710733663841,0.04946233112497334,1.1983914942576201,1.2380022911905706,6.489994591671173e-05,5.586147632704656e-05,0.37668925545629306,0.00048793945007291845
MOEAD_TCHE,random_dense,UX,5,232674705,519.5080275535583,101,79,0.1297018754034361,1.8738644501554929,1.9027745842057333,0.0506245591974823,1.195593882157801,1.2506495631501842,7.352220370551907e-05,5.8183584114283575e-05,0.3686443412103115,0.00047751857669729465
MOEAD_TCHE,greedy_multi,UX,1,860551015,531.8764963150024,53,116,0.28066211635858795,1.3223039290791836,1.3597909351951054,0.2206328471831131,0.023486455998243616,0.11231074356754417,0.01652892561983471,0.008645407458396648,0.4988520833523204,0.000646181455119586
MOEAD_TCHE,greedy_multi,UX,2,1828221062,501.8246831893921,70,132,0.3691132740846954,1.2982712410958257,1.3565273434496266,0.23291432817923152,0.01634915709358071,0.1582884319462254,0.02040816326530612,0.008823672951400243,0.4875114149192765,0.0006314914701026898
MOEAD_TCHE,greedy_multi,UX,3,1376806545,521.1230070590973,67,111,0.32875076403394227,1.3164060915937619,1.3623834493028384,0.22154728760134282,0.02156854175541299,0.14066769835488258,0.01652892561983471,0.009465339295480624,0.4884496772531088,0.000632706835820089
MOEAD_TCHE,greedy_multi,UX,4,1904324132,361.5948624610901,74,95,0.3113114270307998,1.320285985402428,1.3593336223495127,0.22106199076266747,0.020797952253946067,0.12312541031248866,0.01652892561983471,0.009611646575923068,0.4920657480775341,0.0006373908653854069
MOEAD_TCHE,greedy_multi,UX,5,26672851,361.72233533859253,71,93,0.3591921089733924,1.301391484669201,1.3484216255466708,0.2325460728143644,0.009013184104389903,0.15227090623239725,0.02040816326530612,0.009043085642811545,0.4890039690147833,0.0006334248303300303
