algorithm,init,run,seed,f1_compactness,f2_transformed_tolerance,f3_transformed_hamming_avg,f4_balance_var
NSGA2,random_sparse,1,1030823061,168.0,0.024390243902439025,0.013602160910669495,143.76032392736766
NSGA2,random_sparse,1,1030823061,110.0,0.038461538461538464,0.02030201040298051,69.33950049670507
NSGA2,random_sparse,1,1030823061,107.0,0.04,0.020873040839362703,63.629073455812076
NSGA2,random_sparse,1,1030823061,171.0,0.025,0.013376815890898308,152.50882673784017
NSGA2,random_sparse,1,1030823061,58.0,0.07692307692307693,0.03770053475935829,23.95860369196718
NSGA2,random_sparse,1,1030823061,126.0,0.030303030303030304,0.01774059103848513,82.23609775036479
NSGA2,random_sparse,1,1030823061,14.0,0.5,0.1536784741144414,2.842148282279584
NSGA2,random_sparse,1,1030823061,66.0,0.07692307692307693,0.032952586836493235,32.63782553065748
NSGA2,random_sparse,1,1030823061,18.0,0.3333333333333333,0.11547911547911549,3.8273728685679487
NSGA2,random_sparse,1,1030823061,153.0,0.02564102564102564,0.014784329659095378,127.39020217167142
NSGA2,random_sparse,1,1030823061,116.0,0.037037037037037035,0.019337584859082494,72.50969518635877
NSGA2,random_sparse,1,1030823061,173.0,0.023809523809523808,0.013327189593449827,149.1592655990647
NSGA2,random_sparse,1,1030823061,123.0,0.03225806451612903,0.018168054504163512,81.92822842789562
NSGA2,random_sparse,1,1030823061,18.0,0.3333333333333333,0.11913814955640051,3.7599592575826137
NSGA2,random_sparse,1,1030823061,117.0,0.037037037037037035,0.018936023770753246,76.4574648848145
NSGA2,random_sparse,1,1030823061,90.0,0.045454545454545456,0.02485293145614383,46.967908272974
NSGA2,random_sparse,1,1030823061,35.0,0.16666666666666666,0.0600095759961696,12.27452011342491
NSGA2,random_sparse,1,1030823061,53.0,0.1,0.042709477111809474,17.723101673708566
NSGA2,random_sparse,1,1030823061,162.0,0.024390243902439025,0.014108641542945052,129.7591851202155
NSGA2,random_sparse,1,1030823061,140.0,0.030303030303030304,0.016036850635502857,106.68859400935497
NSGA2,random_sparse,1,1030823061,88.0,0.05,0.02506945216135126,45.1144929518132
NSGA2,random_sparse,1,1030823061,21.0,0.25,0.09901685393258426,4.575247723957524
NSGA2,random_sparse,1,1030823061,30.0,0.25,0.07149195081759412,9.191335320154911
NSGA2,random_sparse,1,1030823061,173.0,0.025,0.01325733090438973,155.54296737462892
NSGA2,random_sparse,1,1030823061,137.0,0.02857142857142857,0.016323931636300488,99.35185525753255
