init,Compacidad,Tolerancia,Disimilitud,Balance
random_dense,407.0,73.0,142.9255319148936,386.0831069865701
random_dense,320.0,60.0,121.44060283687944,340.1649116933241
random_dense,404.0,70.0,152.77748226950354,505.91945749082
random_dense,343.0,75.0,126.19148936170212,339.3888637392488
random_dense,309.0,65.0,117.14095744680851,319.6689607854235
random_dense,389.0,61.0,144.12234042553192,415.7935434585782
random_dense,418.0,85.0,155.63297872340425,518.4078485740163
random_dense,380.0,68.0,140.0505319148936,410.9433685113932
random_dense,288.0,66.0,114.1214539007092,315.67939788617304
random_dense,305.0,71.0,118.48226950354608,338.8950757004172
random_dense,333.0,73.0,139.19858156028369,617.7123384135601
random_dense,448.0,82.0,160.5363475177305,516.516409354409
random_dense,382.0,80.0,136.31648936170214,366.8528486683264
random_dense,319.0,71.0,118.33687943262412,283.1772923897179
random_dense,281.0,57.0,110.63563829787236,291.9177724649164
random_dense,442.0,97.0,166.5921985815603,670.6351164428337
random_dense,338.0,69.0,130.06560283687944,376.2758381117645
random_dense,353.0,62.0,135.04432624113474,390.7143472410845
random_dense,414.0,82.0,157.26418439716312,550.3380080227355
random_dense,266.0,61.0,100.74202127659576,220.1896526520293
random_dense,398.0,86.0,149.26861702127658,489.44291581786666
random_dense,309.0,70.0,124.50797872340424,425.6666030066397
random_dense,403.0,71.0,153.63563829787233,560.6925951599512
random_dense,405.0,75.0,139.56205673758865,345.4074964790499
random_dense,357.0,60.0,132.62943262411346,357.99743159297765
random_dense,361.0,67.0,137.84840425531914,422.9016641202649
random_dense,419.0,89.0,151.36258865248226,509.6531039371778
random_dense,402.0,88.0,153.0177304964539,573.1805366933245
random_dense,347.0,73.0,133.68882978723406,443.24980430436057
random_dense,458.0,85.0,164.35195035460993,554.0206344939897
random_dense,399.0,87.0,141.5381205673759,380.0517383117046
random_dense,376.0,82.0,151.27659574468086,662.2000905387054
random_dense,266.0,58.0,108.16666666666669,293.52186761229257
random_dense,366.0,74.0,141.14007092198582,443.8633588602184
random_dense,404.0,81.0,145.16489361702128,415.302597329108
random_dense,296.0,50.0,115.0859929078014,303.71689599995057
random_dense,396.0,83.0,136.26152482269504,334.82078916427747
random_dense,351.0,74.0,139.2712765957447,512.160451561793
random_dense,285.0,68.0,109.60195035460993,276.49669832377657
random_dense,282.0,48.0,109.6285460992908,252.08099363085336
random_dense,293.0,61.0,117.95744680851064,355.1152105024898
random_dense,322.0,51.0,126.66312056737588,360.0177179216333
random_dense,313.0,71.0,121.47340425531917,355.1198600422516
random_dense,435.0,85.0,162.99379432624113,606.5788621988328
random_dense,358.0,81.0,136.0363475177305,404.6963738934163
random_dense,361.0,72.0,134.9255319148936,374.4625396106839
random_dense,369.0,75.0,132.64007092198582,355.2924368744032
random_dense,257.0,60.0,96.604609929078,182.8223900960716
random_dense,471.0,84.0,179.17109929078015,791.5106186497153
random_dense,252.0,48.0,100.0168439716312,231.5201063515419
random_dense,323.0,74.0,113.5372340425532,245.46669873245816
random_dense,375.0,79.0,154.18439716312056,730.2532317287865
random_dense,301.0,38.0,120.88475177304964,359.23139869724884
random_dense,482.0,102.0,175.36170212765958,709.489738946733
random_dense,247.0,59.0,98.15602836879432,214.50757004174852
random_dense,439.0,86.0,172.54078014184398,821.2501100296776
random_dense,348.0,76.0,118.8413120567376,244.8551372855993
random_dense,482.0,91.0,182.1631205673759,810.916654091847
random_dense,372.0,79.0,126.39804964539007,270.64918059328
random_dense,464.0,98.0,178.59663120567376,870.6005914881046
random_dense,303.0,71.0,126.20390070921984,477.33076492631176
random_dense,462.0,101.0,163.10638297872342,562.3078315980079
