tipo_decision,alcance,algorithm,init,run,seed,Compacidad,Tolerancia,Disimilitud,Balance
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,199.0,37.0,0.3619382372857194,0.0023135531902496896
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,261.0,63.0,0.39227874242547756,0.003360429175443241
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,301.0,66.0,0.3672480620155039,0.0024858042294817213
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,301.0,66.0,0.3672480620155039,0.0024858042294817213
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,288.0,67.0,0.3682464046493302,0.002702975024832843
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,236.0,57.0,0.38678401851184036,0.0026165966374307697
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,235.0,47.0,0.3557454353402746,0.002194354493778499
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,236.0,57.0,0.38678401851184036,0.0026165966374307697
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,314.0,75.0,0.3820752586167954,0.0030473512314903215
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,314.0,75.0,0.3820752586167954,0.0030473512314903215
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,338.0,73.0,0.3487032607327206,0.0022506142254371943
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,227.0,42.0,0.34603368013247104,0.0020047104897165952
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,227.0,42.0,0.34603368013247104,0.0020047104897165952
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,229.0,42.0,0.3409481557186658,0.0019165119486123116
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,350.0,81.0,0.3651139817629179,0.002653446264200567
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,222.0,49.0,0.36417800779502907,0.00241259396705586
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,249.0,56.0,0.3656541057848415,0.002390853323196478
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,250.0,55.0,0.3502730496453901,0.002062762323323778
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,229.0,58.0,0.409880299792499,0.0034170400555710214
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,183.0,40.0,0.40015211409526025,0.0030064504593861987
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,280.0,60.0,0.36921859169199595,0.0024677513202919594
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,280.0,60.0,0.36921859169199595,0.0024677513202919594
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,213.0,53.0,0.42424582958745377,0.004282246636298393
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,309.0,64.0,0.34418106910877,0.0021124034452847944
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,207.0,48.0,0.42408863535135505,0.004219739599999214
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,283.0,68.0,0.4141136004811668,0.004032199477095231
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,332.0,79.0,0.38428981884986757,0.003323953329929849
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,210.0,42.0,0.3648725092874029,0.00239825813861752
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,194.0,37.0,0.3680403231702859,0.0024137680528389907
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,218.0,55.0,0.4035639924523391,0.0030075770732119044
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,269.0,63.0,0.3688569432360463,0.0023912947411923067
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,332.0,84.0,0.3942445313167564,0.003629867683127129
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,249.0,56.0,0.3656541057848415,0.002390853323196478
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,218.0,55.0,0.4035639924523391,0.0030075770732119044
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,212.0,49.0,0.3640731633881975,0.0022345185848668464
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,273.0,65.0,0.3850050658561297,0.0030581083964097504
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,265.0,63.0,0.40121771711494714,0.003534012242905809
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,270.0,67.0,0.4028598634095088,0.0033679484906213863
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,198.0,45.0,0.36665412995200225,0.0024652208616731228
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,273.0,63.0,0.35215168991764734,0.002156779816504583
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,238.0,58.0,0.39470841528100603,0.003234444910474707
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,206.0,50.0,0.42347052950492325,0.0043824597899767325
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,210.0,42.0,0.3648725092874029,0.00239825813861752
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,183.0,41.0,0.3863649575630741,0.002756560218803086
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,183.0,41.0,0.3863649575630741,0.002756560218803086
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,286.0,66.0,0.36940807419530824,0.0025184863492846224
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,292.0,63.0,0.34090522685320124,0.0019343944149595703
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,238.0,45.0,0.33987424757136897,0.001901486013590767
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,378.0,87.0,0.36776239258508764,0.002905668637972939
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,238.0,45.0,0.33987424757136897,0.001901486013590767
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,270.0,61.0,0.3629301287102705,0.002253255593345563
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,270.0,61.0,0.3629301287102705,0.002253255593345563
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,216.0,49.0,0.39871864328867873,0.0028953021985173547
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,210.0,50.0,0.42031408308004053,0.0039898082365585445
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,350.0,81.0,0.3651139817629179,0.002653446264200567
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,273.0,63.0,0.35215168991764734,0.002156779816504583
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,200.0,45.0,0.394459219858156,0.002770718195136057
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,290.0,59.0,0.35159268769870383,0.002120294996833417
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,189.0,47.0,0.40520751247701603,0.0035521052318558686
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,174.0,41.0,0.3938717697888644,0.0028655611828083535
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,299.0,67.0,0.3523298702530895,0.0021135295502051578
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,378.0,87.0,0.36776239258508764,0.002905668637972939
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,290.0,59.0,0.35159268769870383,0.002120294996833417
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,349.0,77.0,0.35633471519437504,0.0024602109967773685
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,290.0,59.0,0.35159268769870383,0.002120294996833417
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,189.0,43.0,0.39813876693309314,0.002819489351524275
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,273.0,63.0,0.35215168991764734,0.002156779816504583
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,218.0,55.0,0.4035639924523391,0.0030075770732119044
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,218.0,55.0,0.4201070336391437,0.0038888183758043655
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,345.0,80.0,0.367799876657416,0.002863987896382967
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,270.0,68.0,0.4169950091935908,0.004191075099862006
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,189.0,43.0,0.39813876693309314,0.002819489351524275
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,193.0,49.0,0.41051152022930215,0.0032869888401426497
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,193.0,49.0,0.41051152022930215,0.0032869888401426497
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,211.0,51.0,0.4090408725757117,0.0032779226830844514
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,278.0,64.0,0.3575182407265677,0.0022433649069684186
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,262.0,54.0,0.34409682745926046,0.0020104817082588584
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,222.0,49.0,0.36417800779502907,0.00241259396705586
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,378.0,87.0,0.36776239258508764,0.002905668637972939
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,245.0,47.0,0.3434107685627443,0.0019719066130900794
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,252.0,46.0,0.3552642688280986,0.00211662550836776
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,252.0,62.0,0.39097151863109314,0.003178519063585801
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,270.0,52.0,0.33705673758865246,0.0019017108844952616
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,270.0,52.0,0.33705673758865246,0.0019017108844952616
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,218.0,55.0,0.4201070336391437,0.0038888183758043655
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,252.0,46.0,0.3552642688280986,0.00211662550836776
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,176.0,35.0,0.3979892005157963,0.003172256982896355
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,174.0,33.0,0.3827341648324774,0.002795313247393129
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,252.0,46.0,0.3552642688280986,0.00211662550836776
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,216.0,49.0,0.39871864328867873,0.0028953021985173547
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,180.0,35.0,0.3635047281323877,0.0024387807105052876
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,305.0,72.0,0.3840338332752005,0.0029269742089187696
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,205.0,49.0,0.4023741567202906,0.002931634760884373
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,261.0,65.0,0.3899724192277384,0.003185895778635841
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,236.0,60.0,0.42341702728693353,0.004262005852351474
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,246.0,61.0,0.4015056506948048,0.0032077199182240844
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,270.0,68.0,0.4169950091935908,0.004191075099862006
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,293.0,64.0,0.3818047587926318,0.002801188586610011
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,286.0,72.0,0.4049620592173783,0.0033953079862297387
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,205.0,51.0,0.419862480539699,0.004202184268706967
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,269.0,63.0,0.3688569432360463,0.0023912947411923067
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,264.0,53.0,0.3520913926499033,0.0020693391097571187
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,186.0,44.0,0.4088547624494776,0.0033366018042859107
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,283.0,68.0,0.4141136004811668,0.004032199477095231
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,195.0,43.0,0.4035870158210584,0.0030485524100151325
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,261.0,60.0,0.3767628597048993,0.002674909219567081
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,210.0,42.0,0.3648725092874029,0.00239825813861752
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,194.0,41.0,0.3796976676171675,0.0026418287726576173
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,244.0,60.0,0.4101884955237763,0.003635184473401978
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,260.0,63.0,0.3896549372613203,0.0028697621688543885
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,250.0,50.0,0.3558262411347518,0.0022486081057290913
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,249.0,55.0,0.411913611894386,0.003491550486572346
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,249.0,55.0,0.411913611894386,0.003491550486572346
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,364.0,80.0,0.3642959434182838,0.0026293839699061583
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,305.0,72.0,0.3840338332752005,0.0029269742089187696
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,305.0,72.0,0.3840338332752005,0.0029269742089187696
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,309.0,72.0,0.4013174504808465,0.003366790133197303
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,211.0,47.0,0.388495344694296,0.002837177085800397
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,258.0,53.0,0.36356451701577874,0.0023766216976558265
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,204.0,41.0,0.38478653872896673,0.002726677039612141
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,224.0,52.0,0.3668748416919959,0.0023005981215373913
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,232.0,57.0,0.3946105404744436,0.0028827081386180024
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,218.0,39.0,0.34741606480577786,0.002005496598133827
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,218.0,39.0,0.34741606480577786,0.002005496598133827
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,291.0,72.0,0.38940983646511174,0.003064344943303772
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,218.0,55.0,0.4201070336391437,0.0038888183758043655
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,200.0,45.0,0.394459219858156,0.002770718195136057
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,309.0,64.0,0.34418106910877,0.0021124034452847944
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,358.0,83.0,0.3729595071120092,0.003026482822277584
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,205.0,49.0,0.4023741567202906,0.002931634760884373
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,211.0,47.0,0.388495344694296,0.002837177085800397
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,266.0,57.0,0.3532568122433744,0.002102354348343812
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,213.0,51.0,0.3936752905137682,0.003058598978564613
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,194.0,41.0,0.3796976676171675,0.0026418287726576173
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,200.0,45.0,0.394459219858156,0.002770718195136057
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,261.0,52.0,0.35623692290970355,0.0021881751443586102
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,204.0,40.0,0.3466007857043527,0.002107836990501741
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,208.0,45.0,0.35202281096563015,0.0020637364007958553
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,274.0,68.0,0.3971145881865714,0.0033732250656222703
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,183.0,41.0,0.3863649575630741,0.002756560218803086
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,179.0,42.0,0.38955584611117716,0.003008060564522319
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,179.0,42.0,0.38955584611117716,0.003008060564522319
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,222.0,52.0,0.39508258258258255,0.002738632854869436
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,214.0,38.0,0.3577749055478226,0.0022070860553826586
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,260.0,63.0,0.3896549372613203,0.0028697621688543885
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,260.0,63.0,0.3896549372613203,0.0028697621688543885
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,249.0,55.0,0.411913611894386,0.003491550486572346
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,270.0,68.0,0.4169950091935908,0.004191075099862006
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,204.0,40.0,0.3466007857043527,0.002107836990501741
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,239.0,53.0,0.3841619929374759,0.0026100540415142735
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,239.0,53.0,0.3841619929374759,0.0026100540415142735
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,174.0,33.0,0.3827341648324774,0.002795313247393129
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,174.0,33.0,0.3827341648324774,0.002795313247393129
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,275.0,65.0,0.3919890393294649,0.0029839342330669084
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,232.0,55.0,0.4024211298606016,0.0029447241220517755
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,299.0,67.0,0.3523298702530895,0.0021135295502051578
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,266.0,65.0,0.3750166640004266,0.0025401822655352494
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,305.0,78.0,0.4107720032554354,0.003922228653933529
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,210.0,50.0,0.42031408308004053,0.0039898082365585445
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,329.0,83.0,0.39974724611438056,0.0036191540269619894
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,329.0,83.0,0.39974724611438056,0.0036191540269619894
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,266.0,65.0,0.3750166640004266,0.0025401822655352494
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,214.0,41.0,0.33764996354477367,0.0019515595229601984
