algorithm,init,crossover,run,seed,f1_compactness,f2_transformed_tolerance,f3_transformed_hamming_avg,f4_balance_var
NSGA2,random_dense,UX,1,2046743687,154.0,-0.14935064935064934,-0.3146760154738878,0.0015709015305238052
NSGA2,random_dense,UX,1,2046743687,113.0,-0.24778761061946902,-0.41969497269817363,0.003434163793799353
NSGA2,random_dense,UX,1,2046743687,115.0,-0.26956521739130435,-0.4357616404563675,0.003944060199301169
NSGA2,random_dense,UX,1,2046743687,122.0,-0.19672131147540983,-0.36747907220090686,0.002417831016528325
NSGA2,random_dense,UX,1,2046743687,127.0,-0.2677165354330709,-0.406405316356732,0.0031512044061259396
NSGA2,random_dense,UX,1,2046743687,112.0,-0.24107142857142858,-0.41107047872340424,0.0032736685157065547
NSGA2,random_dense,UX,1,2046743687,170.0,-0.13529411764705881,-0.2950615352523988,0.0012262250779247238
NSGA2,random_dense,UX,1,2046743687,173.0,-0.16184971098265896,-0.3084132743000041,0.0013696257834435626
NSGA2,random_dense,UX,1,2046743687,155.0,-0.14193548387096774,-0.3179993136582018,0.0015199225388459873
NSGA2,random_dense,UX,1,2046743687,175.0,-0.14857142857142858,-0.29734042553191486,0.0012772225096466814
NSGA2,random_dense,UX,1,2046743687,195.0,-0.17435897435897435,-0.3109292598654301,0.0013435212360355406
NSGA2,random_dense,UX,1,2046743687,107.0,-0.2523364485981308,-0.41127295022204546,0.003406020514062299
NSGA2,random_dense,UX,1,2046743687,107.0,-0.27102803738317754,-0.4466096639490953,0.004476600837433595
NSGA2,random_dense,UX,1,2046743687,162.0,-0.21604938271604937,-0.357543122318536,0.0021708823804026944
NSGA2,random_dense,UX,1,2046743687,129.0,-0.2248062015503876,-0.38025729836714495,0.0026274936013502147
NSGA2,random_dense,UX,1,2046743687,95.0,-0.2631578947368421,-0.4378219484882419,0.004133143362982034
NSGA2,random_dense,UX,1,2046743687,130.0,-0.24615384615384617,-0.4011593016912166,0.002990178953828532
NSGA2,random_dense,UX,1,2046743687,183.0,-0.21311475409836064,-0.3359250862302833,0.0016769361134730577
NSGA2,random_dense,UX,1,2046743687,201.0,-0.1890547263681592,-0.32058237182879923,0.001454293294570534
NSGA2,random_dense,UX,1,2046743687,110.0,-0.2727272727272727,-0.4526918117343649,0.00483479154481561
NSGA2,random_dense,UX,1,2046743687,101.0,-0.24752475247524752,-0.44148936170212766,0.00422246676863698
NSGA2,random_dense,UX,1,2046743687,173.0,-0.2023121387283237,-0.33411736973721967,0.0017506832958300415
NSGA2,random_dense,UX,1,2046743687,169.0,-0.17159763313609466,-0.3111230013848672,0.001413573285998292
NSGA2,random_dense,UX,1,2046743687,187.0,-0.1657754010695187,-0.303310008723025,0.001254503076764958
NSGA2,random_dense,UX,1,2046743687,135.0,-0.24444444444444444,-0.38322826372471763,0.00259897815182779
NSGA2,random_dense,UX,1,2046743687,121.0,-0.256198347107438,-0.39980804173260653,0.003013183579841891
NSGA2,random_dense,UX,1,2046743687,127.0,-0.18110236220472442,-0.3587982353269671,0.0022969110874593176
NSGA2,random_dense,UX,1,2046743687,119.0,-0.25210084033613445,-0.3990032183086,0.0030725437260356613
NSGA2,random_dense,UX,1,2046743687,121.0,-0.2727272727272727,-0.427239024676162,0.0037269465545080307
NSGA2,random_dense,UX,1,2046743687,195.0,-0.16923076923076924,-0.2963538825240953,0.0012340188586256547
NSGA2,random_dense,UX,1,2046743687,175.0,-0.21714285714285714,-0.34534447821681863,0.0019276096601308409
NSGA2,random_dense,UX,1,2046743687,189.0,-0.164021164021164,-0.3130605275995347,0.0014186977358090144
NSGA2,random_dense,UX,1,2046743687,118.0,-0.2457627118644068,-0.39758384421204473,0.0029949710400554597
NSGA2,random_dense,UX,1,2046743687,196.0,-0.18877551020408162,-0.3233056520480533,0.0015835489244289147
NSGA2,random_dense,UX,1,2046743687,169.0,-0.17751479289940827,-0.32263208695287254,0.0016468827378720789
NSGA2,random_dense,UX,1,2046743687,130.0,-0.23076923076923078,-0.378341516639389,0.0025620905928737925
NSGA2,random_dense,UX,1,2046743687,138.0,-0.21014492753623187,-0.3662054167951485,0.002210563413048557
NSGA2,random_dense,UX,1,2046743687,190.0,-0.1631578947368421,-0.29293113101903695,0.001130386094178647
NSGA2,random_dense,UX,1,2046743687,147.0,-0.20408163265306123,-0.3516850002412313,0.0020007388735408483
NSGA2,random_dense,UX,1,2046743687,152.0,-0.15789473684210525,-0.32209429824561403,0.0016361049538360416
NSGA2,random_dense,UX,1,2046743687,177.0,-0.1807909604519774,-0.3241274992987939,0.0016098056690524525
NSGA2,random_dense,UX,1,2046743687,146.0,-0.2465753424657534,-0.38895972991353345,0.002766308497313088
NSGA2,random_dense,UX,1,2046743687,214.0,-0.19626168224299065,-0.32383011864519123,0.001509212297997081
NSGA2,random_dense,UX,1,2046743687,162.0,-0.13580246913580246,-0.30855988967691095,0.0014110216253385732
NSGA2,random_dense,UX,1,2046743687,155.0,-0.2064516129032258,-0.35384351407000686,0.0021200271427689868
NSGA2,random_dense,UX,2,662266869,121.0,-0.23140495867768596,-0.44323310474180877,0.004830902190552736
NSGA2,random_dense,UX,2,662266869,125.0,-0.24,-0.4438368794326241,0.004742668427141497
NSGA2,random_dense,UX,2,662266869,191.0,-0.15706806282722513,-0.2993297686680777,0.0012603139463779169
NSGA2,random_dense,UX,2,662266869,138.0,-0.2826086956521739,-0.435733374447528,0.004214604437888313
NSGA2,random_dense,UX,2,662266869,170.0,-0.11764705882352941,-0.33047559449311636,0.0016256566536288874
NSGA2,random_dense,UX,2,662266869,92.0,-0.25,-0.42782531606537155,0.004150020109609637
NSGA2,random_dense,UX,2,662266869,198.0,-0.16161616161616163,-0.30162440002865537,0.001254589382763571
NSGA2,random_dense,UX,2,662266869,252.0,-0.21825396825396826,-0.35008232016210744,0.0018001328024691908
NSGA2,random_dense,UX,2,662266869,135.0,-0.2740740740740741,-0.439394536380352,0.00440138262821539
NSGA2,random_dense,UX,2,662266869,126.0,-0.2777777777777778,-0.4294438815715411,0.003847100534144397
NSGA2,random_dense,UX,2,662266869,174.0,-0.1206896551724138,-0.3239025434091465,0.0015374391228931811
NSGA2,random_dense,UX,2,662266869,103.0,-0.24271844660194175,-0.41696791296564073,0.0034643670340695058
NSGA2,random_dense,UX,2,662266869,215.0,-0.1813953488372093,-0.3261875309252845,0.0015363459467280826
