algorithm,init,crossover,run,seed,elapsed_sec,n_solutions_final_front,n_infeasible_final_front,Range,SumMin,MinSum,Hypervolume,IGD+,GD+,MaxToleranceRate,AvgToleranceRate,AvgHammingDistance,avg_h_norm
SPEA2,greedy_ting,HUX,5,592357701,225.35826587677002,220,0,1.1938451759372986,1.0088004545860858,1.4909520537946797,0.35039914476476697,0.20811164071374064,0.542083253034459,0.2459016393442623,0.15720165774722056,50.73174564796905,0.06571469643519307
SPEA2,greedy_ting,1P,1,889125292,345.555255651474,220,0,1.0476306091634473,1.051667690991744,1.464983700923038,0.344017320412943,0.14645595082607957,0.4497368636716597,0.24719101123595505,0.18952439925280415,56.028803997421015,0.07257617098111531
SPEA2,greedy_ting,1P,2,111051835,253.19306087493896,220,0,1.1499734161229995,1.0260802949559082,1.5285964202141644,0.3274964132488126,0.05760391597953423,0.38804181223185136,0.22009569377990432,0.14579455868675303,36.609227917472595,0.04742127968584533
SPEA2,greedy_ting,1P,3,2019766422,320.6225595474243,220,0,1.0976072857029056,1.0407597195712148,1.507981621150282,0.3348591553398088,0.11478738115068454,0.4455002166877529,0.22794117647058823,0.17365643580017867,49.94830754352031,0.06469988023772061
SPEA2,greedy_ting,1P,4,1588380264,254.56088876724243,220,0,1.1364892664290802,1.0521144448940503,1.524508674668543,0.32087713661140715,0.05499686475418095,0.39982373498838875,0.23529411764705882,0.132380871793639,39.08472759509994,0.05062788548588076
SPEA2,greedy_ting,1P,5,1576653856,185.20804119110107,220,0,1.106209945556879,1.0383850070527691,1.524325799304817,0.3246091726654781,0.051138618747770426,0.42265786884279466,0.22297297297297297,0.14278615425211774,41.71664248871696,0.05403710166932248
SPEA2,greedy_ting,2P,1,274383947,306.04282569885254,220,0,0.9726273476126298,1.122837832834872,1.4947576788537935,0.3040146000517144,0.0628720088610477,0.38118876911768096,0.23870967741935484,0.154862300025284,42.03821324951644,0.05445364410559124
SPEA2,greedy_ting,2P,2,1643794137,208.13280749320984,220,0,1.014992029881735,1.1049547329404652,1.5161194561458762,0.30425482439490775,0.07229905239464757,0.41662538808164656,0.22815533980582525,0.1527186127805983,43.39036508704062,0.056205136123109616
SPEA2,greedy_ting,2P,3,1405025077,298.28489112854004,220,0,0.9967741930604797,1.1201286093965763,1.5217271021484264,0.2928810036087446,0.04054938495062949,0.3950831130228324,0.22885572139303484,0.14236622446408237,37.767049484203746,0.04892104855466806
SPEA2,greedy_ting,2P,4,973638919,328.62021017074585,220,0,0.9898186840248006,1.1070196916639872,1.5068542897981947,0.30576897394313257,0.058115928238419004,0.3626142370275332,0.23780487804878048,0.1568984686860335,35.643838652482266,0.04617077545658325
SPEA2,greedy_ting,2P,5,961912511,325.26496934890747,220,0,0.9999341761800725,1.0854393510119777,1.489198391491847,0.31495126213851504,0.08717995988771152,0.3779164180937111,0.23952095808383234,0.161808245212497,38.34247259832366,0.04966641528280267
SPEA2,greedy_multi,UX,1,1858176650,316.8900008201599,220,0,0.4222205682404512,1.4170535167942315,1.5014686838160676,0.14099280727097122,0.0046909426403015445,0.22914513491689453,0.25,0.12772805866773504,14.782329948420374,0.019148095788109293
SPEA2,greedy_multi,UX,2,1080103193,248.33323621749878,220,0,0.39123268004586875,1.426724875198965,1.5066568527650328,0.1356734637103133,0.004473412850446803,0.16450504290502482,0.24444444444444444,0.10980338357465996,12.192275145067697,0.01579310251951774
SPEA2,greedy_multi,UX,3,841334133,335.16878509521484,220,0,0.3927776612367597,1.424687420224047,1.5023481031504384,0.13650626906227348,0.0010670391573404906,0.16310350011487912,0.2682926829268293,0.12094582475144587,12.14667150225661,0.015734030443337578
SPEA2,greedy_multi,UX,4,409947975,244.33831000328064,220,0,0.43441189778469,1.400793254953521,1.4912912195129908,0.15159686669937233,0.00822674085991828,0.19633867800576513,0.27906976744186046,0.151075405785946,15.09719938749194,0.019555957755818577
SPEA2,greedy_multi,UX,5,398221567,261.2172198295593,220,0,0.42599861862697364,1.4092394751615704,1.5012794458823278,0.14596187348920653,0.0047450908138941044,0.20474446569619884,0.2727272727272727,0.12493405494131725,13.273021437782075,0.017193032950494916
SPEA2,greedy_multi,HUX,1,531353475,278.36651825904846,220,0,0.3648279229763707,1.404047473901674,1.4974406663539335,0.15164017204434932,0.0028114419081875838,0.09714033019546765,0.2708333333333333,0.14896131752198413,13.618306737588652,0.017640293701539706
SPEA2,greedy_multi,HUX,2,1900763665,249.87805485725403,220,0,0.41549541193222467,1.417615546644581,1.4945605941918807,0.14178650393446451,0.0,0.17517006249431366,0.2647058823529412,0.12829975300941238,13.878356705351388,0.01797714599138781
SPEA2,greedy_multi,HUX,3,1661994605,310.3760280609131,220,0,0.401795518291857,1.3946871415994613,1.4903886574443581,0.1564276431248716,0.0028114419081875838,0.13695957633552416,0.2777777777777778,0.1435438254668649,14.884002256608644,0.01927979566918218
SPEA2,greedy_multi,HUX,4,1230608447,266.2328805923462,220,0,0.3720612912700521,1.4298021494122393,1.5015027615114092,0.1361144206705239,0.006159865290936421,0.1252736867532022,0.2571428571428571,0.1211168001791832,12.858994197292072,0.01665672823483429
SPEA2,greedy_multi,HUX,5,1218882039,237.32819390296936,220,0,0.3808323293142539,1.434616155643608,1.5100094589370947,0.1306463883853058,0.0028114419081875838,0.1642614275924104,0.25,0.11245588829091334,11.977514506769825,0.015514915164209619
SPEA2,greedy_multi,1P,1,301600222,240.19580554962158,220,0,0.4215543965633351,1.4311285318798599,1.508420501195629,0.1305777810229027,0.0,0.21817721339004367,0.25806451612903225,0.1131966154522563,11.639442295293358,0.015076997791830775
SPEA2,greedy_multi,1P,2,1671010412,250.69561314582825,220,0,0.35862953680388193,1.4410562199677266,1.517893632167496,0.12540007809660067,0.01151494908189641,0.17683208134662123,0.2413793103448276,0.11059949280400277,11.271453900709222,0.014600328886929043
SPEA2,greedy_multi,1P,3,1432241352,248.84943461418152,220,0,0.3764544614658606,1.4497673065632457,1.5142677092489845,0.12044009484103109,0.00533519578670214,0.17568606271382625,0.25,0.10472454008789979,10.091106544165056,0.01307138153389256
SPEA2,greedy_multi,1P,4,1000855194,341.7483742237091,220,0,0.38467546873160663,1.4427183123371103,1.5040934152958418,0.12576540806416797,0.009253775931170981,0.17487794383122093,0.25806451612903225,0.11260439980665421,10.944946808510638,0.014177392239003416
SPEA2,greedy_multi,1P,5,989128786,308.2866804599762,220,0,0.4025377149263177,1.4491956184389783,1.5240673664591926,0.11974892605376322,0.0010670391573404906,0.23118192840501178,0.24242424242424243,0.09265858868335822,9.634348807221148,0.012479726434224285
SPEA2,greedy_multi,2P,1,18646952,220.9467306137085,220,0,0.35625318232828607,1.4424746914276967,1.518835267295661,0.1252819233322665,0.007622310229023591,0.1437339503998911,0.25,0.11771585643965977,11.22429078014184,0.014539236761841762
SPEA2,greedy_multi,2P,2,1388057142,323.07347893714905,220,0,0.4271002779777407,1.4388468723356818,1.504476655925965,0.1255213121805046,0.006743231430590804,0.24756998503619682,0.25,0.11212183380583504,11.267476627981948,0.014595176979251227
SPEA2,greedy_multi,2P,3,1149288082,300.8664011955261,220,0,0.38894061710364664,1.4412095961260325,1.5121716217809247,0.12546475784750602,0.007113594382269729,0.20631550384863223,0.2413793103448276,0.11283811720592102,12.131922952933591,0.01571492610483626
SPEA2,greedy_multi,2P,4,717901924,310.26007890701294,220,0,0.37967550757861834,1.4338157363916328,1.5072905720599417,0.13059166712938355,0.008536313258723612,0.17815970833545913,0.25806451612903225,0.12016708458650752,11.559320599613152,0.014973213211934134
SPEA2,greedy_multi,2P,5,706175516,306.4896454811096,220,0,0.3964640063027011,1.4353779130481872,1.5079672231342398,0.13060899309126736,0.005871192276423019,0.16954844654044732,0.2647058823529412,0.12219393403306039,11.605178110896196,0.015032614133285228
NSGA2,random_dense,UX,1,1055346725,184.57606434822083,220,0,1.0880467454249052,0.9828640244813432,1.4563285381495816,0.39287803771212304,0.38703408455820737,0.6926566140721109,0.24705882352941178,0.21558239529142917,97.55697533849128,0.12636913903949648
NSGA2,random_dense,UX,2,277273268,229.76134085655212,220,0,1.0414295564066232,0.9846450632177303,1.43539461307969,0.397481958437413,0.39194016122769076,0.7217037256643338,0.2596685082872928,0.2262055068012177,104.24548678272083,0.13503301396725495
NSGA2,random_dense,UX,3,38504208,230.6615707874298,220,0,1.035046677697043,0.979767514336632,1.4546066622957734,0.39592662818696245,0.3237650770227848,0.6478088287640377,0.2608695652173913,0.2288572785950002,93.0749959703417,0.12056346628282603
NSGA2,random_dense,UX,4,1754601697,246.046226978302,220,0,1.169016298988205,0.9565050672726947,1.4328021018872918,0.4005205476933387,0.32202202610917413,0.6609895898617785,0.25146198830409355,0.20918603196152985,92.11097678916828,0.11931473677353403
NSGA2,random_dense,UX,5,1742875289,213.90376543998718,220,0,1.165689904128122,0.9339435160738926,1.4163494073622274,0.4115383283376462,0.3537786188796588,0.67838621871325,0.24873096446700507,0.21565593105608688,99.36387411347518,0.12870968149413883
