init,Compacidad,Tolerancia,Hamming,Balance
random_dense,450.0,96.0,166.29166666666666,666.5523419030754
random_dense,352.0,75.0,138.18882978723406,547.7152298362755
random_dense,422.0,88.0,154.68173758865248,530.6513686119912
random_dense,323.0,71.0,116.59219858156028,267.1847618329064
random_dense,299.0,58.0,110.229609929078,250.17688920954703
random_dense,397.0,73.0,153.3590425531915,582.3258756790406
random_dense,297.0,67.0,108.20656028368796,246.4635385229616
random_dense,352.0,64.0,136.92464539007094,464.66542097354176
random_dense,381.0,86.0,143.98670212765958,530.1159579183648
random_dense,396.0,86.0,154.97340425531914,657.5950373472149
random_dense,304.0,68.0,114.74290780141844,295.2317759418543
random_dense,343.0,69.0,126.16755319148936,326.1447982684467
random_dense,365.0,85.0,135.16932624113474,406.6424279148436
random_dense,268.0,51.0,102.14095744680851,240.76647851592008
random_dense,399.0,88.0,145.00531914893617,428.9077731250949
random_dense,333.0,77.0,121.33333333333331,306.7683215130015
random_dense,302.0,55.0,117.61702127659576,355.8178663045119
random_dense,276.0,53.0,107.40248226950357,323.89829171067885
random_dense,377.0,64.0,147.12056737588654,573.2620592525527
random_dense,428.0,89.0,163.85017730496455,669.6717020962225
random_dense,437.0,96.0,167.92109929078015,719.1453704227655
random_dense,380.0,78.0,141.40070921985816,428.0734746743124
random_dense,337.0,76.0,128.56826241134752,407.7825742857503
random_dense,392.0,67.0,147.60017730496455,504.7789715997729
random_dense,414.0,78.0,149.8031914893617,470.40098272219706
random_dense,396.0,92.0,146.97340425531914,487.4248245812587
random_dense,379.0,72.0,135.98847517730496,364.20465441250406
random_dense,269.0,57.0,100.71985815602837,230.8293219656959
greedy_ting,146.0,29.0,51.722517730496456,61.70580500855088
greedy_ting,283.0,67.0,112.47695035460993,302.5916672954075
greedy_ting,179.0,37.0,70.54964539007092,117.61987576077662
greedy_ting,323.0,58.0,117.28812056737588,261.30794398546345
greedy_ting,211.0,47.0,85.38563829787235,180.192595159952
greedy_ting,28.0,1.0,11.210106382978724,6.619862400030171
greedy_ting,134.0,13.0,55.36524822695036,93.86304763341867
greedy_ting,28.0,4.0,11.037234042553193,6.945422136713454
greedy_ting,394.0,87.0,153.73936170212767,566.9533442734257
greedy_ting,219.0,31.0,89.52748226950355,226.49924472486285
greedy_ting,349.0,73.0,130.55585106382978,354.27524945299484
greedy_ting,421.0,88.0,154.15336879432624,536.5890666654087
greedy_ting,235.0,53.0,87.33067375886525,153.6929598297371
greedy_ting,376.0,77.0,148.10106382978722,494.23092085408086
greedy_ting,166.0,20.0,62.07890070921986,82.42905836602802
greedy_ting,306.0,68.0,109.99113475177305,240.0566589960264
greedy_ting,259.0,56.0,101.5691489361702,232.07323260902356
greedy_ting,94.0,16.0,34.61790780141844,29.64212611915902
greedy_ting,359.0,84.0,142.26241134751774,479.317665107389
greedy_ting,306.0,53.0,123.36258865248227,368.8871464903687
greedy_ting,239.0,37.0,85.83156028368795,142.97517416125964
greedy_ting,270.0,36.0,107.9849290780142,281.46342534958046
greedy_ting,131.0,13.0,55.594858156028366,99.09738490895823
greedy_ting,327.0,78.0,132.77393617021278,414.43559727252176
greedy_ting,196.0,45.0,81.06648936170212,175.93263590236913
greedy_ting,278.0,64.0,106.01418439716312,214.31540163975677
greedy_ting,176.0,19.0,74.19326241134752,157.43428084603374
