algorithm,init,crossover,run,seed,Range,MinSum,SumMin,MaxToleranceRate,AvgToleranceRate,AvgHammingDistance,Hypervolume,IGD+,GD+,elapsed_sec,n_solutions_final_front,n_infeasible_final_front
SPEA2,random_dense,HUX,4,1589952131,1.220394176707229,1.4595261285351375,1.0451186499831902,0.2354651162790697,0.1940032658562191,151.6098484848485,0.4231804333441922,0.20856771017031067,0.025685595462988996,0.0,220,0
SPEA2,random_dense,HUX,5,1578225723,1.2079924858391968,1.4683918892579209,1.026708001289402,0.2314814814814814,0.1957197889519938,156.42842117988394,0.4308479195786012,0.20856771017031067,0.025685595462988996,0.0,220,0
SPEA2,random_dense,HUX,6,281907444,1.1869591549217362,1.4714625299950082,1.0408486616238477,0.2321428571428571,0.1893279359576655,152.8479892005158,0.4205463340341321,0.20856771017031067,0.025685595462988996,0.0,220,0
SPEA2,random_dense,HUX,7,884086530,1.3821867676005533,1.4785956307396235,0.9492514770166351,0.2352941176470588,0.1935586130891106,152.34489442295293,0.4498680700083494,0.20856771017031067,0.025685595462988996,0.0,220,0
SPEA2,random_dense,HUX,8,2106931310,1.2237825852986115,1.488159826988776,1.0129494962129229,0.2285714285714285,0.1949868210285441,154.93874516441005,0.4288634954374324,0.20856771017031067,0.025685595462988996,0.0,220,0
SPEA2,random_dense,HUX,9,1115134323,1.2846076095386032,1.4763137531631785,1.0016768401501854,0.2245430809399478,0.1874870248365964,157.76004996776277,0.4298201338684266,0.20856771017031067,0.025685595462988996,0.0,220,0
SPEA2,random_dense,HUX,10,900549947,1.1633241142254396,1.470213133783497,1.0497909546808033,0.2352941176470588,0.1920941791042447,142.5390796260477,0.4179435936780287,0.20856771017031067,0.025685595462988996,0.0,220,0
SPEA2,random_dense,HUX,11,1765153209,1.172066161239016,1.505404639678498,1.0630884555568698,0.238244514106583,0.1876547084517638,150.29935928433267,0.4117944960584637,0.20856771017031067,0.025685595462988996,0.0,220,0
SPEA2,random_dense,HUX,12,36216345,1.4011046211282148,1.479145646260096,0.9851042101277386,0.2370820668693009,0.1885841138963276,147.834501934236,0.4331760461235508,0.20856771017031067,0.025685595462988996,0.0,220,0
SPEA2,random_dense,HUX,13,86991008,1.2621503050866203,1.4561119205344717,1.0188381320652946,0.2413793103448276,0.1931214343978141,150.48496937459706,0.4305101221261727,0.20856771017031067,0.025685595462988996,0.0,220,0
SPEA2,random_dense,HUX,14,2147149805,1.3993566196890517,1.506145266298035,0.9836017610056432,0.2408536585365853,0.1927650742509232,151.0106262088975,0.434914691637814,0.20856771017031067,0.025685595462988996,0.0,220,0
SPEA2,random_dense,HUX,15,136840215,1.2869052577242928,1.4747462138972716,1.0011542240725912,0.2359550561797752,0.1909522320796554,160.24831963249517,0.431574263234468,0.20856771017031067,0.025685595462988996,0.0,220,0
SPEA2,random_dense,HUX,16,1738648398,1.2855408144374882,1.4803569808904542,0.994994988254213,0.2311557788944723,0.1921883969316725,157.5294205351386,0.4355790782216399,0.20856771017031067,0.025685595462988996,0.0,220,0
SPEA2,random_dense,HUX,17,968422517,1.2586116678076376,1.4888762716173494,1.0330309455797844,0.2328358208955223,0.1838393292939886,148.7913362346873,0.4193670560530151,0.20856771017031067,0.025685595462988996,0.0,220,0
SPEA2,random_dense,HUX,18,244208063,1.261499037639445,1.492909075750994,0.9976349704719156,0.229551451187335,0.1931911071268323,154.55405786589296,0.431529019578941,0.20856771017031067,0.025685595462988996,0.0,220,0
SPEA2,random_dense,HUX,19,1612967127,1.37248520196182,1.4887552328077394,0.9833022679493372,0.2292191435768261,0.1862772101956158,157.05408607350097,0.4322546090338807,0.20856771017031067,0.025685595462988996,0.0,220,0
SPEA2,random_dense,HUX,20,1712899082,1.4128919784534713,1.4616694420689915,0.9450168022225218,0.2288557213930348,0.1883617833067988,151.6130963894262,0.4440798433617207,0.20856771017031067,0.025685595462988996,0.0,220,0
SPEA2,random_dense,HUX,21,1453791300,1.2395427634088392,1.4776235423782365,1.0399878893694374,0.2426035502958579,0.1926152204181594,148.44451563507414,0.4216192022570107,0.20856771017031067,0.025685595462988996,0.0,220,0
SPEA2,random_dense,HUX,22,1077294525,1.386840644918938,1.48864927125305,0.9893904209651628,0.228287841191067,0.1860936368672266,145.72815522243712,0.4308596429465563,0.20856771017031067,0.025685595462988996,0.0,220,0
SPEA2,random_dense,HUX,23,418241582,1.2942425509620556,1.480118602293104,1.0027809288221106,0.233502538071066,0.1927309515845557,152.25932865892975,0.4323356947506519,0.20856771017031067,0.025685595462988996,0.0,220,0
SPEA2,random_dense,HUX,24,127846516,1.3127949462735584,1.4757239278585874,0.9796531641560632,0.2258064516129032,0.1886604381156205,156.80510960670534,0.4359198628678703,0.20856771017031067,0.025685595462988996,0.0,220,0
SPEA2,random_dense,HUX,25,1999925491,1.2312382807389142,1.5055447634902723,1.0382059904762555,0.2311435523114355,0.1949272647549494,151.30313910380397,0.419424163525292,0.20856771017031067,0.025685595462988996,0.0,220,0
SPEA2,random_dense,HUX,26,1517023980,1.2551104976708565,1.504369926197791,1.0163085236546734,0.2316076294277929,0.1841400515804769,147.3619922630561,0.4243593488738471,0.20856771017031067,0.025685595462988996,0.0,220,0
SPEA2,random_dense,HUX,27,210234831,1.3675542921262052,1.457878586983007,0.9507510838575008,0.2307692307692307,0.1909378465183816,157.77894503546102,0.4494431607421536,0.20856771017031067,0.025685595462988996,0.0,220,0
SPEA2,random_dense,HUX,28,1803053489,1.2986527714423337,1.4700762440172417,1.0199868923241255,0.2309582309582309,0.188670597282706,149.7336879432624,0.4249529909861093,0.20856771017031067,0.025685595462988996,0.0,220,0
SPEA2,random_dense,HUX,29,1599023649,1.3369832780178652,1.4859047256568576,1.0252789459344065,0.228643216080402,0.1855264606031247,153.5164369761444,0.4236964189103292,0.20856771017031067,0.025685595462988996,0.0,220,0
SPEA2,random_dense,HUX,30,1613114358,1.307892886589589,1.477218846962729,1.010025830208797,0.2375690607734806,0.1878963312688779,153.63982511283044,0.4300190969658234,0.20856771017031067,0.025685595462988996,0.0,220,0
SPEA2,random_dense,HUX,31,1166672695,1.2709504027980154,1.4737043301723054,0.9853531032233666,0.2401129943502825,0.191141701723969,152.36659413281754,0.4379381072765526,0.20856771017031067,0.025685595462988996,0.0,220,0
SPEA2,random_dense,1P,1,531916921,1.1549418246874077,1.500008384529353,1.0521752824668706,0.2262773722627737,0.1924315983663282,137.26980174081237,0.4126344294653648,0.19840587821505679,0.05116335343274015,0.0,220,0
SPEA2,random_dense,1P,2,1901327111,1.0401924971553649,1.4937379790503178,1.11182736193974,0.227027027027027,0.1923297719932317,139.65467843326886,0.3954553685605907,0.19840587821505679,0.05116335343274015,0.0,220,0
SPEA2,random_dense,1P,3,1662558051,1.2097460811173049,1.498382436027375,1.056780854489792,0.2281167108753315,0.1907256985000265,138.56704948420375,0.4077939630069808,0.19840587821505679,0.05116335343274015,0.0,220,0
SPEA2,random_dense,1P,4,1231171893,1.131372140501338,1.5069812334347947,1.0754148721782752,0.2266288951841359,0.1901740138188601,136.59907720825274,0.4025233492931168,0.19840587821505679,0.05116335343274015,0.0,220,0
SPEA2,random_dense,1P,5,1219445485,1.1340862198938046,1.516933822079281,1.1176461172808092,0.2236024844720497,0.1855478369683917,139.17790135396518,0.3910294082369492,0.19840587821505679,0.05116335343274015,0.0,220,0
SPEA2,random_dense,1P,6,2070610853,1.2011095354859898,1.5205635304771938,1.0767675671842327,0.2208955223880597,0.1767240129906354,134.33644019987108,0.3978293737415246,0.19840587821505679,0.05116335343274015,0.0,220,0
SPEA2,random_dense,1P,7,525306292,1.2240091558887856,1.5056627400339848,1.0537746631706428,0.2210796915167095,0.1827164018189297,139.85553675048357,0.4077846643809234,0.19840587821505679,0.05116335343274015,0.0,220,0
SPEA2,random_dense,1P,8,1748151072,1.074912682118494,1.5275084867118056,1.129961266125199,0.225,0.182799942883634,144.13105254674403,0.3857646858651075,0.19840587821505679,0.05116335343274015,0.0,220,0
SPEA2,random_dense,1P,9,756354085,1.0929955875712762,1.504526891773464,1.104318399236916,0.2282051282051282,0.193562145140684,138.92751047711153,0.3983971472701899,0.19840587821505679,0.05116335343274015,0.0,220,0
