algorithm,init,crossover,Range_mean,Range_std,MinSum_mean,MinSum_std,SumMin_mean,SumMin_std,MaxToleranceRate_mean,MaxToleranceRate_std,AvgToleranceRate_mean,AvgToleranceRate_std,AvgHammingDistance_mean,AvgHammingDistance_std,Hypervolume_mean,Hypervolume_std,IGD+_mean,IGD+_std,GD+_mean,GD+_std,Average Ranking Overall,Average Ranking (Algorithm),Average Ranking (Initialization),Average Ranking (Crossover),elapsed_sec_mean,elapsed_sec_std,n_solutions_final_front_mean,n_solutions_final_front_std,n_infeasible_final_front_mean,n_infeasible_final_front_std
RVEA,greedy_multi,HUX,0.12771163740283697,0.013751054227688086,1.9346198993195578,0.007759875966810166,1.8974647886677842,0.010194561843331671,0.226320951093929,0.016629048524836876,0.1396101760455216,0.00780301685943636,9.92830939580521,0.6371424835073426,0.028785381440426652,0.0018369394283452656,0.0005248117949704768,0.000796273871327532,0.02452262991119845,0.002415634296294834,63.888888888888886,5.777777777777778,2.2222222222222223,1.3333333333333333,0.0,0.0,26.612903225806452,4.325717045414465,193.38709677419354,4.325717045414465
RVEA,greedy_multi,UX,0.13090665492031495,0.013345161942252654,1.9334495340621833,0.006661929210495689,1.8950566661740873,0.009625004570062254,0.2268105236611921,0.011438623923744841,0.13984656962844044,0.006099829373286229,10.03150272693012,0.6666294476216679,0.029220923132458238,0.0017700428703506352,0.0005173403332027611,0.0008020918850057567,0.024903498238381224,0.0026600955656436434,63.111111111111114,5.777777777777778,2.2222222222222223,1.6666666666666667,0.0,0.0,27.451612903225808,4.233506896789149,192.5483870967742,4.233506896789148
RVEA,greedy_ting,1P,1.3125061937493705,0.259818705535955,1.7755315166063803,0.06455492459729693,1.2436324142600865,0.16553676263507872,0.16746537893188143,0.014532414530878396,0.09894382986883747,0.010142672353272103,48.74208084063975,8.125158553979503,0.20098863779226878,0.05331873618268966,0.007698411130909779,0.002527551176742733,0.29137242091297394,0.053747985566608925,53.22222222222222,5.777777777777778,2.0,4.0,0.0,0.0,18.193548387096776,3.8593553420116646,201.80645161290323,3.8593553420116637
RVEA,greedy_ting,2P,1.0812526302706638,0.15545357236000656,1.8094055785661503,0.03665264813228415,1.3794861615581389,0.09222344500829172,0.16595460168403062,0.01083531657948968,0.09627070356945029,0.0071614739436982105,42.325932147069715,4.660287595536865,0.16002922964236146,0.029643698595517378,0.00751278060247314,0.002565613007092113,0.243911809398438,0.03138122601013198,54.888888888888886,5.777777777777778,2.0,3.0,0.0,0.0,16.806451612903224,1.990299053554678,203.19354838709677,1.9902990535546685
RVEA,greedy_ting,HUX,1.5394653174870856,0.16243856170609708,1.7694126629082585,0.03653464129647974,1.1351355969342438,0.08892774408762547,0.17993657041976566,0.008202157834281746,0.14024531120131903,0.008355919245217225,60.35904711460931,6.556582857100316,0.2371909858815362,0.02841478376632815,0.007458538610761566,0.0020974561784099137,0.3556387435537606,0.043764719259231206,50.666666666666664,5.777777777777778,2.0,1.3333333333333333,0.0,0.0,17.322580645161292,2.5480331862594667,202.67741935483872,2.548033186259469
RVEA,greedy_ting,UX,1.6095759184109677,0.05939843012619405,1.768880938959166,0.030670397523177045,1.0922990194673576,0.0301856524732621,0.17840273169228313,0.008230784269759255,0.14079731862246844,0.006563772166074092,62.16044276045519,3.0825745557437583,0.2497332941645836,0.010363669945565852,0.007870880071914301,0.0017145710968135355,0.3687465697579302,0.02184078779113996,50.666666666666664,5.777777777777778,2.0,1.6666666666666667,0.0,0.0,16.838709677419356,2.2523583816901556,203.16129032258064,2.2523583816901493
RVEA,random_dense,1P,0.5282832693404172,0.09510212606722196,1.5869109249441036,0.016283491406234706,1.3961771542025463,0.04709211778458091,0.21867084218295318,0.0048439126226096285,0.20014082737583358,0.003881381069996624,103.08155697175317,3.1090737954764274,0.2778369698390682,0.0177358299187771,0.4854128430272253,0.018695385789225957,0.5787959956117767,0.018986740658305575,53.77777777777778,5.777777777777778,1.7777777777777777,4.0,0.0,0.0,37.096774193548384,7.413298135601443,0.0,0.0
RVEA,random_dense,2P,0.587175655624696,0.10444847662520795,1.577394126221721,0.013951336812986324,1.3679152950195435,0.05484672883370642,0.22554464907846172,0.0046515985204534874,0.20320064075076685,0.005683221231338583,99.26555438645528,4.111031328879346,0.28351213250860957,0.02114768522466406,0.44226546420406215,0.021075595344008553,0.5467528939842711,0.02644678530118965,50.888888888888886,5.777777777777778,1.7777777777777777,3.0,0.0,0.0,36.83870967741935,6.643777912169894,0.0,0.0
RVEA,random_dense,HUX,0.45630637000088853,0.14431228572974755,1.5603775328569895,0.019333116314090588,1.3937831844880526,0.07184583995066282,0.2448220195368111,0.008216056828363842,0.22791385031456743,0.0068202921352728246,89.73601810911214,5.592701877327227,0.26477215553089467,0.029535827562921696,0.38077921033020806,0.024127929446450144,0.4621717058490582,0.032741185305380345,45.55555555555556,5.777777777777778,1.7777777777777777,1.3333333333333333,0.0,0.0,25.225806451612904,5.981692499727006,0.0,0.0
RVEA,random_dense,UX,0.49814184272227946,0.1371740391813189,1.554818187609734,0.019760282564526936,1.36979620520765,0.0718652090736737,0.2446925495382904,0.005416640604302,0.22744538455204155,0.0042998959234372336,90.90764656989167,5.260290026897638,0.27453281241677785,0.029641082504277494,0.3812916543743121,0.01743437369762286,0.46941770776892383,0.030152882853086174,45.111111111111114,5.777777777777778,1.7777777777777777,1.6666666666666667,0.0,0.0,27.161290322580644,5.099652107046444,0.0,0.0
SMSEMOA,greedy_multi,1P,0.1569933636219404,0.01215881786716882,1.9153345512621534,0.00632134837020322,1.8729689866583377,0.009102282160576928,0.2624012224225429,0.010760340830065787,0.20793282859764664,0.013752233283898522,12.950220881108914,0.9915276879276669,0.03340072208743873,0.0017692650472001918,0.0007694687158672247,0.00029683771304496535,0.03531090590110459,0.0037727395172135005,51.77777777777778,4.222222222222222,2.2222222222222223,4.0,0.0,0.0,129.51612903225808,20.19549614434191,90.48387096774194,20.19549614434191
SMSEMOA,greedy_multi,2P,0.16465049739846732,0.012238057219249752,1.9131658220417627,0.00556119124029041,1.868023735121546,0.008777680406614287,0.2597075673122773,0.01003125061678715,0.2037967356682609,0.010775537485352916,13.214671537030249,0.8188917158218253,0.03435948409895861,0.001708117079227904,0.0007279440595506028,0.0003202287090972461,0.03603395310576847,0.0029242284960597636,51.666666666666664,4.222222222222222,2.2222222222222223,3.0,0.0,0.0,137.67741935483872,19.560823255978086,82.3225806451613,19.56082325597808
SMSEMOA,greedy_multi,HUX,0.1816375550452261,0.007849114276952302,1.9071790044429804,0.004491887744972995,1.8564117161907296,0.005961487587109272,0.2512931885779664,0.007857045796013656,0.19263022721634476,0.00790490044316813,15.045192917419401,0.8323494388841862,0.036600013918186666,0.0012157883896311214,0.0006106649626563284,0.0003904315823259202,0.042288917747776995,0.0031288576104651273,54.333333333333336,4.222222222222222,2.2222222222222223,1.3333333333333333,0.0,0.0,176.48387096774192,23.490240480877635,43.516129032258064,23.490240480877635
SMSEMOA,greedy_multi,UX,0.18489993397662655,0.01072615001160532,1.9061185634783313,0.005764111460472217,1.8542953680971261,0.008022329498221906,0.25235230699626987,0.008483232048117935,0.19371327492872134,0.008035560399091072,15.25034952164161,0.7775973337633342,0.037037414846507334,0.0016398758351009316,0.0007777455899303429,0.00027240730486048555,0.04303284338626077,0.0029082963761255386,53.77777777777778,4.222222222222222,2.2222222222222223,1.6666666666666667,0.0,0.0,182.5483870967742,22.44673504050188,37.45161290322581,22.44673504050187
