tipo_decision,alcance,algorithm,init,run,seed,Compacidad,Tolerancia,Disimilitud,Balance
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,479.0,102.0,186.90070921985816,1027.068155525374
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,347.0,72.0,140.81294326241135,562.6396551669934
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,342.0,55.0,136.0904255319149,483.03083031537636
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,365.0,73.0,143.37943262411346,535.9411372667361
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,441.0,78.0,172.80141843971631,830.9747497610783
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,478.0,95.0,182.62322695035462,892.2702761116161
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,339.0,70.0,134.27659574468086,482.2426437301941
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,422.0,94.0,162.46010638297872,669.936351761733
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,376.0,75.0,148.5921985815603,610.3301519038283
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,407.0,64.0,158.85283687943263,643.5705415975046
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,371.0,80.0,140.87765957446808,491.4247491323374
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,375.0,60.0,149.40070921985816,632.0770207736017
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,395.0,78.0,149.81648936170214,529.887423136412
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,395.0,78.0,149.81648936170214,529.887423136412
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,417.0,73.0,164.3785460992908,707.3451780280163
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,375.0,60.0,149.40070921985816,632.0770207736017
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,322.0,54.0,125.79343971631205,380.7755952605504
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,445.0,91.0,170.33244680851064,723.1510039422064
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,388.0,57.0,154.5363475177305,674.6937143189471
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,398.0,78.0,161.72163120567376,854.5324398923615
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,384.0,67.0,149.6258865248227,546.4664220864146
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,366.0,65.0,149.02393617021278,660.0109518824512
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,354.0,67.0,136.4131205673759,466.1059271414921
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,377.0,64.0,146.81648936170214,557.8891961860561
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,414.0,82.0,161.56028368794327,738.5548765152657
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,398.0,85.0,157.56826241134752,703.7169714488695
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,388.0,80.0,155.19769503546098,728.7100301481306
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,452.0,91.0,177.86170212765958,919.7751999396406
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,421.0,79.0,165.72783687943263,711.6768137606258
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,393.0,83.0,150.3031914893617,558.5144578995016
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,433.0,98.0,168.37677304964538,816.413893132892
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,455.0,99.0,176.0709219858156,861.3212112066815
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,336.0,55.0,129.84397163120568,402.50047784316706
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,317.0,63.0,124.1604609929078,385.26059978748555
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,416.0,64.0,161.5381205673759,693.0552844109944
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,319.0,58.0,124.57801418439716,377.9921407373868
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,395.0,78.0,149.81648936170214,529.887423136412
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,383.0,65.0,155.29698581560282,746.7566575813582
