algorithm,init,crossover,MaxToleranceRate,MaxToleranceRate_std
NSGA3,random_dense,2P,0.24768314352199908,0.003793801729472695
UNSGA3,greedy_ting,UX,0.2461474185715682,0.009724358850865342
NSGA3,greedy_ting,HUX,0.2459081649115344,0.00988614988730414
SMSEMOA,random_dense,1P,0.24575745058817913,0.003828179736110671
NSGA3,greedy_ting,UX,0.24546725664965535,0.009719231642611422
SPEA2,greedy_ting,UX,0.24451849901124179,0.006795001404280011
AGEMOEA2,greedy_ting,2P,0.2432887569371163,0.00634438082780853
AGEMOEA2,random_dense,1P,0.2414201262605705,0.004291799470537664
SPEA2,random_dense,1P,0.2396324639558081,0.004346010735071041
UNSGA3,random_dense,1P,0.2391931277162122,0.0036199559115541796
AGEMOEA2,greedy_ting,1P,0.23895480229634392,0.0067922876856339204
NSGA2,greedy_multi,2P,0.23762704939882878,0.012895692059921297
NSGA3,random_dense,1P,0.237544428745326,0.00337339441101658
RVEA,random_dense,HUX,0.23642590485704268,0.0058387776708577485
SPEA2,greedy_ting,2P,0.23636014681030804,0.006946688280560212
RVEA,random_dense,UX,0.2351410278267559,0.005149964089617002
NSGA2,greedy_multi,1P,0.23357724394525547,0.01011018993098437
NSGA2,greedy_ting,UX,0.23310125378056637,0.0035830780885263993
NSGA2,greedy_ting,HUX,0.23216647949545166,0.004137642586224691
SPEA2,greedy_ting,1P,0.2307914163623136,0.007552894205148961
NSGA2,greedy_ting,2P,0.23039753912712752,0.007570560215779247
NSGA2,greedy_ting,1P,0.22984472763029412,0.005756116072224085
UNSGA3,greedy_ting,2P,0.229634701632374,0.007765320646172544
NSGA3,greedy_ting,2P,0.22851042325667278,0.006855191839114746
NSGA2,random_dense,2P,0.2279233396331647,0.004290837322212702
NSGA2,random_dense,1P,0.22436872445018302,0.0054511465425106514
NSGA3,greedy_ting,1P,0.22432312754291697,0.011539500303072558
RVEA,random_dense,2P,0.21987589658821957,0.00511116942199846
UNSGA3,greedy_ting,1P,0.21976424548603585,0.007606152635866609
RVEA,random_dense,1P,0.215372237319457,0.0029584411496635437
RVEA,greedy_ting,2P,0.19009235871672428,0.010552774214877391
RVEA,greedy_ting,HUX,0.18280039504550627,0.006955603087393836
RVEA,greedy_ting,UX,0.18187875594698696,0.006596056615512067
RVEA,greedy_ting,1P,0.18042836563001338,0.00866845756937452
