init,Compacidad,Tolerancia,Disimilitud,Balance
random_dense,194.0,53.0,0.3988173576076625,0.0024460957960519805
random_dense,180.0,48.0,0.40119680851063827,0.002295515158363559
random_dense,180.0,50.0,0.4022901891252955,0.002359122208273484
random_dense,182.0,49.0,0.39835651936715766,0.0022417376634165562
random_dense,180.0,49.0,0.4022803388494878,0.0023199850210216875
random_dense,182.0,49.0,0.3962863377756995,0.0022071220058101867
random_dense,180.0,48.0,0.4015908195429472,0.0023010931002039312
random_dense,184.0,49.0,0.3964452281837804,0.002220755711118144
random_dense,192.0,51.0,0.4070072399527187,0.0025294276034636977
random_dense,181.0,48.0,0.39703087653305125,0.002225490968252935
random_dense,181.0,48.0,0.3997345323459112,0.002266990062706993
random_dense,189.0,52.0,0.3977400652932568,0.0023750677753976625
random_dense,219.0,55.0,0.380379869814437,0.0022141273714901886
random_dense,190.0,51.0,0.38948301605076524,0.002179426643236395
random_dense,182.0,50.0,0.40218026654196865,0.002334562876958747
random_dense,181.0,48.0,0.3961296579287646,0.0022114038379630096
random_dense,193.0,51.0,0.4068276191526109,0.0025081744635838377
random_dense,178.0,49.0,0.40604331022392226,0.002415398336068233
random_dense,181.0,49.0,0.39989616394341915,0.0022741558073473864
random_dense,192.0,51.0,0.3980357934397163,0.00229637656771413
random_dense,180.0,49.0,0.40373325453112685,0.0023731129813439338
random_dense,203.0,54.0,0.3974906543688642,0.0024283973546298633
random_dense,180.0,50.0,0.4067720646178093,0.0025080694008594944
random_dense,188.0,49.0,0.3892221216236608,0.0021302767907483105
random_dense,181.0,49.0,0.39690842835312096,0.0022219616289278553
random_dense,188.0,50.0,0.397790289723857,0.002236093609931506
random_dense,194.0,52.0,0.39073810046062735,0.0021920574317764634
random_dense,181.0,47.0,0.39444477097292424,0.002182945155608652
random_dense,177.0,48.0,0.4040549745562368,0.0023615094060674487
random_dense,212.0,54.0,0.39768165395423527,0.002435588841091142
random_dense,176.0,47.0,0.4018425612508059,0.0023227561223509636
random_dense,179.0,49.0,0.4011599112484646,0.0023008323785677098
random_dense,182.0,49.0,0.40279888551165144,0.002334581929572777
random_dense,188.0,51.0,0.3984363211106081,0.002300540919779851
random_dense,218.0,58.0,0.395995998438415,0.002521351845025535
random_dense,178.0,47.0,0.40039046936010836,0.0022835784545364706
random_dense,180.0,48.0,0.39847320724980295,0.0022462679757830665
random_dense,179.0,47.0,0.39882225920202863,0.0022507218712473414
random_dense,192.0,51.0,0.40826776743498816,0.0025639984453382845
random_dense,184.0,50.0,0.4078688714153561,0.0024990441078992366
random_dense,198.0,52.0,0.39085446665233897,0.0021757022380488144
random_dense,187.0,48.0,0.38956839989380665,0.0021261582303349143
random_dense,182.0,50.0,0.40239946223988776,0.0023551574240462726
random_dense,183.0,47.0,0.4000746037282487,0.00227272440235412
random_dense,220.0,54.0,0.37676499032882016,0.0021849892578819116
random_dense,179.0,49.0,0.4033093624945521,0.002346097963597175
random_dense,181.0,47.0,0.3931125347752831,0.002173231058080585
random_dense,177.0,47.0,0.40050887526545653,0.0022845613323369957
random_dense,197.0,53.0,0.40599236778629805,0.0025524068437821654
random_dense,192.0,52.0,0.4046431737588652,0.002431609801954442
random_dense,185.0,49.0,0.3925196473068813,0.0021620271137372553
random_dense,178.0,49.0,0.4026814885648259,0.002332500950406209
random_dense,184.0,51.0,0.4049009404872032,0.0023915430636424193
random_dense,180.0,49.0,0.3999901497241923,0.0022832938352021666
random_dense,209.0,55.0,0.39440174420577556,0.0024066013737934484
random_dense,179.0,49.0,0.3995502991402195,0.002274556107356295
random_dense,179.0,47.0,0.3999316533935576,0.002268683208919731
random_dense,182.0,49.0,0.40032440963292026,0.0022844149494452124
random_dense,183.0,50.0,0.40685191644382435,0.0024546962185762575
random_dense,181.0,49.0,0.4036577720308765,0.002351645195570953
random_dense,215.0,56.0,0.3941530595414811,0.0024720558795901042
random_dense,182.0,48.0,0.3980788714831268,0.0022370063749858685
random_dense,224.0,57.0,0.3825077570921986,0.0023465052623687713
random_dense,193.0,53.0,0.39842171021203104,0.00243244323443137
random_dense,178.0,47.0,0.39945413977209343,0.002264160192102737
random_dense,182.0,50.0,0.3959502377055569,0.0022156839373705392
random_dense,190.0,51.0,0.39693449048152296,0.002251240949264469
random_dense,178.0,49.0,0.40305502430472545,0.0023382765559087884
random_dense,192.0,52.0,0.3993471114066194,0.002327550789959314
random_dense,183.0,51.0,0.40329128395922953,0.0024201583394667155
random_dense,189.0,51.0,0.397857330481444,0.0022644240946179802
random_dense,182.0,49.0,0.40679798924479776,0.0024544146862030994
random_dense,208.0,55.0,0.3937491475722859,0.0024212979712822658
random_dense,182.0,50.0,0.40098686774218684,0.0023071626791883026
random_dense,177.0,49.0,0.4036542853708378,0.002363692910864275
random_dense,209.0,51.0,0.3749024398520479,0.0021272487142917846
random_dense,180.0,49.0,0.4064026792750197,0.0024343800085819354
random_dense,178.0,47.0,0.3999920312375488,0.0022733222210087134
random_dense,185.0,50.0,0.3989840904734521,0.002269507587677731
random_dense,177.0,48.0,0.4023119765997516,0.0023292782261612895
random_dense,188.0,52.0,0.4069950580956692,0.0025374652000461455
random_dense,193.0,52.0,0.3940120530628744,0.002232383783541599
random_dense,188.0,50.0,0.3917921004979629,0.002190783484467701
random_dense,298.0,66.0,0.3627939216526251,0.002701150422201773
random_dense,179.0,48.0,0.4050477435714569,0.0023865141375711513
random_dense,184.0,48.0,0.39998169133518346,0.002273277016345966
random_dense,260.0,61.0,0.368395390070922,0.002383306401175011
random_dense,182.0,49.0,0.3946886446886447,0.0021952935356021604
random_dense,183.0,49.0,0.3943485253652676,0.0021778083349024728
