algorithm,init,run,seed,elapsed_sec,n_solutions_final_front,Range,SumMin,MinSum,MaxToleranceRate,AvgToleranceRate,AvgHammingDistance,Hypervolume
NSGA3,greedy_pure,5,4333361,274.91092324256897,29,0.681581216434818,1.281637652870089,1.3671112096281637,0.12903225806451613,0.07420784480260971,20.735192697768763,0.06412276798488695
SPEA2,random,1,900872,287.37619400024414,200,2.2497428715709265,0.9071576702303578,1.2900000699968976,0.020356234096692113,0.009444266598421552,193.18201960784313,0.23478783915749984
SPEA2,random,2,7747923,287.4936752319336,200,2.4447112927688943,0.8448818973102683,1.2777919741925505,0.020671834625323,0.009000538919059104,197.9303410364146,0.24553076786572306
SPEA2,random,3,6554078,286.80793809890747,200,2.1896703625348946,0.9687331966481176,1.3159442320209926,0.0196078431372549,0.008985564192715843,202.58404061624648,0.213593747868823
SPEA2,random,4,4397147,286.7494463920593,200,2.275791628362302,0.9223035408485648,1.283761617376838,0.020618556701030927,0.008907047679295703,194.44175630252101,0.23234335390384547
SPEA2,random,5,4338515,287.2978689670563,200,2.207232944774157,0.9418505574684499,1.3134646663766982,0.020050125313283207,0.009253985381166127,194.28342436974788,0.22672486103909506
SPEA2,greedy_hybrid,1,897871,287.3780891895294,200,1.0858702623271526,1.0881821747833431,1.2424592624937378,0.11538461538461539,0.039117702914039404,39.616927871148455,0.13464911240122507
SPEA2,greedy_hybrid,2,7744922,288.31123876571655,200,1.1923437782367696,0.9713666168694794,1.1200842855579474,0.11290322580645161,0.04648852067892593,39.05895868347339,0.1594983197322959
SPEA2,greedy_hybrid,3,6551077,289.30105352401733,200,1.1820036093152415,0.9750599676502333,1.120014926031321,0.1076923076923077,0.04502994028669413,39.517878851540615,0.15698281331454664
SPEA2,greedy_hybrid,4,4394146,289.51946687698364,200,1.152194898525884,0.9912043981972007,1.1200079212283656,0.125,0.04389148273175456,40.36578361344538,0.15476400612403068
SPEA2,greedy_hybrid,5,4335514,285.41142559051514,200,1.2230098742093694,0.9584059405246219,1.1188147300176283,0.12,0.04423163511087174,43.88071218487394,0.17479343957188578
SPEA2,greedy_pure,1,896044,281.13356375694275,200,0.6609267850323522,1.291434865729216,1.3673051771928824,0.11627906976744186,0.058186090077937465,22.15502030812325,0.06413661857434043
SPEA2,greedy_pure,2,7743095,283.03904485702515,200,0.6633375795860156,1.2897077377760158,1.3669575689392055,0.12195121951219512,0.05858599855158625,23.40179201680672,0.06722556299079908
SPEA2,greedy_pure,3,6549250,282.6341998577118,200,0.6424801140684808,1.3002394219439872,1.3669812136467379,0.11627906976744186,0.056550240026537184,22.104981792717084,0.06207919324286091
SPEA2,greedy_pure,4,4392319,283.4913070201874,200,0.6534212747882169,1.2953373725734882,1.3672757741381771,0.125,0.05815891956133516,23.404432773109242,0.06676367193511783
SPEA2,greedy_pure,5,4333687,283.7493679523468,200,0.6563057651611085,1.2938629654076947,1.3673181416160058,0.1282051282051282,0.05776972852120549,22.24379901960784,0.06318987373793587
MOEAD,random,1,895212,462.2173192501068,133,0.22268095913213376,1.7326902077715076,1.764810675424544,0.011111111111111112,0.01053880576727208,148.8353836271351,0.09044460702659743
MOEAD,random,2,7742263,460.60794496536255,136,0.2872474128720284,1.8933182285189827,1.9470568712860588,0.007518796992481203,0.006910313544096797,131.49999279123415,0.06507581225441242
MOEAD,random,3,6548418,460.4649193286896,129,0.2517436805123682,2.042669991627587,2.087787508767142,0.004796163069544364,0.004461932578420059,140.58620285323428,0.04146473995680111
MOEAD,random,4,4391487,459.7988016605377,141,0.1269105802558183,1.6599448134892405,1.7022150449060756,0.012165450121654502,0.011993550846916728,138.22009654925805,0.1054442430515564
MOEAD,random,5,4332855,460.37521481513977,155,0.13777341423717676,1.7298378694992054,1.7753582288894476,0.011363636363636364,0.011197005851556106,147.28841601156594,0.09226457134513531
MOEAD,greedy_hybrid,1,898723,462.405668258667,139,0.6786213683776258,1.4097339280884025,1.4956816562511792,0.11764705882352941,0.03454690477648941,10.527797593857686,0.04258810349044729
MOEAD,greedy_hybrid,2,7745774,461.6896724700928,145,0.6514852723991881,1.4209303670827202,1.4947966027454884,0.1111111111111111,0.04454611838464686,11.571986863711002,0.041202580053082374
MOEAD,greedy_hybrid,3,6551929,461.46191000938416,142,0.646825428837845,1.4263733426295002,1.4957200511830828,0.1111111111111111,0.04692409723420405,11.085692586893913,0.037282754397694094
MOEAD,greedy_hybrid,4,4394998,461.36582946777344,140,0.5346402000572008,1.5440419665934115,1.6177275196992824,0.1111111111111111,0.03405740477570004,10.591441576630652,0.02961243503666933
