algorithm,init,run,seed,elapsed_sec,n_solutions_final_front,n_infeasible_final_front,Range,SumMin,MinSum,Hypervolume,MaxToleranceRate,AvgToleranceRate,AvgHammingDistance,avg_h_norm
NSGA3,random_dense,3,331032191,115.8296389579773,44,0,0.2922395625420055,0.376351604971608,0.39730353839751364,1.0056741668597982,0.2631578947368421,0.24224662045890905,0.39122787998548963,0.0005067718652661783
NSGA3,random_dense,4,805011027,81.87889862060547,47,0,0.2876489059667829,0.382308138072327,0.4001069816727046,0.9988138849294638,0.2692307692307692,0.24319729525323502,0.39464092184229593,0.0005111929039407978
NSGA3,random_dense,5,65882239,134.9559829235077,44,0,0.3086856054867154,0.3567506218836139,0.387386856450155,1.0271912153610154,0.26556016597510373,0.2374496361031187,0.39151340744696506,0.0005071417194908873
NSGA3,random_dense,6,288423868,72.09641647338867,47,0,0.30583038770179793,0.37016089881425124,0.396939070673415,1.0122404353862144,0.26262626262626265,0.23546314262261336,0.395993428153011,0.0005129448551204805
NSGA3,random_dense,7,2130681408,71.89720487594604,45,0,0.2834459033782757,0.3654916075342925,0.38938266742375266,1.0173171773990577,0.2694300518134715,0.2441778986762803,0.39808432218590334,0.0005156532670801857
NSGA3,random_dense,8,1900398223,134.5162115097046,46,0,0.2913396499523382,0.35549738384108404,0.3781898096554172,1.0289117527072318,0.2694300518134715,0.23639572093031241,0.4015908982653276,0.0005201954640742586
NSGA3,random_dense,9,2002237372,129.3578224182129,49,0,0.3348672008445837,0.34473157271348764,0.38225458666201584,1.040588157829233,0.26881720430107525,0.2395918552656197,0.3985509002516202,0.0005162576428129795
NSGA3,random_dense,10,1884581260,129.44400763511658,44,0,0.2624934124341166,0.3880546093191255,0.4115289916557071,0.9925659236244925,0.2660098522167488,0.243570254453502,0.39256356595233427,0.0005085020284356661
NSGA3,random_dense,11,204397891,129.59062910079956,42,0,0.3110141436896242,0.3837707010032249,0.40509285727604005,0.9971484307671087,0.26666666666666666,0.24173374485425939,0.3936406415227551,0.0005098972040450195
NSGA3,random_dense,12,533958818,135.31763529777527,43,0,0.3248616253160626,0.3664056502217414,0.39009729219069944,1.0166584033905586,0.26666666666666666,0.2405905312046676,0.3945604576675054,0.0005110886757351106
NSGA3,random_dense,13,498387010,129.38483214378357,44,0,0.2983778556799777,0.3908858792124636,0.4179959084685184,0.9889383713162662,0.2644230769230769,0.23824062221954118,0.388469449317779,0.0005031987685463459
NSGA3,random_dense,14,899798264,129.42581915855408,46,0,0.29038869713637894,0.3743133880021768,0.3958597862932239,1.0079543284134864,0.26693227091633465,0.23920251514698718,0.3889170014862236,0.0005037784993344865
NSGA3,random_dense,15,1236730332,129.27553534507751,46,0,0.3555866939024575,0.35842552904825375,0.3915370906638058,1.0249213775278887,0.26732673267326734,0.23881118408539245,0.39185729909439443,0.0005075871749927389
NSGA3,random_dense,16,1190180250,134.77797770500183,49,0,0.29818394798731035,0.3728362304361662,0.3969250593519613,1.0092670567194189,0.27312775330396477,0.2386797327106936,0.39965760166278896,0.0005176911938637162
NSGA3,random_dense,17,165437527,129.77480554580688,49,0,0.3109686640464388,0.3626780228307188,0.38493308473527865,1.0207105035215598,0.2717948717948718,0.24483736770924378,0.40079367604126814,0.0005191627927995701
NSGA3,random_dense,18,592554162,134.5098114013672,42,0,0.3262686354674408,0.3603416116399827,0.38938004213186683,1.0232686201465868,0.2696078431372549,0.24096460477949394,0.39473438815422685,0.0005113139742930399
