generation,algorithm,init,crossover,run,seed,n_solutions,Range,SumMin,MinSum,Hypervolume,IGD+,GD+,MaxToleranceRate,AvgToleranceRate,AvgHammingDistance,avg_h_norm
381,MOEAD_TCHE,greedy_multi,UX,2,91316628,75,0.19888271078943887,1.8464080941015217,1.9025838748868438,0.03863815688646599,0.0035976060788092123,0.5547824621964446,0.21951219512195122,0.14918989359380413,15.902718676122928,0.020599376523475297
391,MOEAD_TCHE,greedy_multi,UX,2,91316628,74,0.19888271078943887,1.8464080941015217,1.9025838748868438,0.03863815688646599,0.0035976060788092123,0.5529990063753618,0.21951219512195122,0.14884110837209877,15.863726758673563,0.020548868858385444
401,MOEAD_TCHE,greedy_multi,UX,2,91316628,72,0.19888271078943887,1.8464080941015217,1.9025838748868438,0.03863796968913389,0.0035976060788092123,0.5460588789695415,0.21951219512195122,0.14755069518558264,15.728083136327816,0.020373164684362455
411,MOEAD_TCHE,greedy_multi,UX,2,91316628,73,0.19888271078943887,1.8464080941015217,1.9025838748868438,0.03863797904435162,0.0035976060788092123,0.5479116195914011,0.21951219512195122,0.1482691788131774,15.770098610706306,0.0204275888739719
421,MOEAD_TCHE,greedy_multi,UX,2,91316628,73,0.19888271078943887,1.8464080941015217,1.9025838748868438,0.03863834499223872,0.0035976060788092123,0.5478618368947075,0.21951219512195122,0.1482691788131774,15.7702564849898,0.02042779337433912
431,MOEAD_TCHE,greedy_multi,UX,2,91316628,73,0.19888271078943887,1.8464080941015217,1.9025838748868438,0.03863836925153477,0.0035976060788092123,0.5477613275365805,0.21951219512195122,0.1482726056124612,15.771058000582919,0.020428831606972692
441,MOEAD_TCHE,greedy_multi,UX,2,91316628,73,0.19888271078943887,1.8464080941015217,1.9025838748868438,0.0386362202511561,0.0035976060788092123,0.5479130943653814,0.21951219512195122,0.14746850104123332,15.769248518410569,0.020426487718148405
451,MOEAD_TCHE,greedy_multi,UX,2,91316628,82,0.20403769762078844,1.8442522942373938,1.9025838748868438,0.03906413251320156,0.0035976060788092123,0.5636803268387691,0.21951219512195122,0.146250703891725,16.056045666839648,0.020797986615077264
461,MOEAD_TCHE,greedy_multi,UX,2,91316628,80,0.20403769762078844,1.8442522942373938,1.9025838748868438,0.039067492270294865,0.0035976060788092123,0.5774447808006966,0.21951219512195122,0.14859857193995887,16.30387854609929,0.021119013660750377
471,MOEAD_TCHE,greedy_multi,UX,2,91316628,81,0.20403769762078844,1.8442522942373938,1.9020906187336242,0.039067659970492365,0.0035976060788092123,0.5714630769739212,0.21951219512195122,0.14746000280288626,16.191817704229052,0.020973857129830378
481,MOEAD_TCHE,greedy_multi,UX,2,91316628,80,0.20403769762078844,1.8442522942373938,1.9020906187336242,0.0390677805053614,0.0035976060788092123,0.5790851067127136,0.21951219512195122,0.1484420699381886,16.335206117021276,0.02115959341583067
491,MOEAD_TCHE,greedy_multi,UX,2,91316628,81,0.20403769762078844,1.8442522942373938,1.9020906187336242,0.03906786551148401,0.0035976060788092123,0.5822273491221406,0.21951219512195122,0.1486818554135948,16.395729358199805,0.02123799139663187
500,MOEAD_TCHE,greedy_multi,UX,2,91316628,81,0.20403769762078844,1.8442522942373938,1.9020906187336242,0.03906790284261342,0.0035976060788092123,0.5805079734103062,0.21951219512195122,0.1486216460941262,16.360038525523155,0.02119175974808699
1,MOEAD_TCHE,greedy_multi,UX,1,1512656746,178,0.08307186394492183,1.9264258373579433,1.9483333787512027,0.023776385620030257,0.00010086746015369741,0.13371620549461374,0.18181818181818182,0.11585471366448515,6.832815363774004,0.008850797103334201
11,MOEAD_TCHE,greedy_multi,UX,1,1512656746,87,0.13156955275914003,1.8959056339760278,1.9357896813704407,0.028946810070505508,0.0011095420616888951,0.3548810295673787,0.18518518518518517,0.10083637481977627,11.871912448031303,0.015378124932683035
21,MOEAD_TCHE,greedy_multi,UX,1,1512656746,81,0.1498923883823821,1.8822911902903177,1.92632859257162,0.03148120070720234,0.0035976060788092123,0.39917879106538606,0.1935483870967742,0.12190763884190127,12.910471937658698,0.01672340924567189
31,MOEAD_TCHE,greedy_multi,UX,1,1512656746,81,0.16125531963940973,1.8725377772294278,1.9181905853109893,0.03340167744104893,0.0035976060788092123,0.4191888481147356,0.20588235294117646,0.1281202177632044,13.295781893004117,0.017222515405445747
41,MOEAD_TCHE,greedy_multi,UX,1,1512656746,79,0.16485852598533357,1.8705726027552148,1.9178573700150148,0.0337465691530427,0.0035976060788092123,0.4545172347471773,0.2,0.13285853733847122,13.997766855193463,0.01813182235128687
51,MOEAD_TCHE,greedy_multi,UX,1,1512656746,84,0.16485852598533357,1.8705726027552148,1.9178573700150148,0.03375076072177637,0.0035976060788092123,0.44552237569008823,0.2,0.12874490994794252,13.757873184734887,0.017821079254837936
61,MOEAD_TCHE,greedy_multi,UX,1,1512656746,87,0.16922906697533957,1.8689990768093725,1.9178573700150148,0.03404456456681939,0.0035976060788092123,0.4699507469220515,0.21212121212121213,0.13300923440901555,14.226593706692755,0.018428230190016524
71,MOEAD_TCHE,greedy_multi,UX,1,1512656746,89,0.1713891037475845,1.8682539048306146,1.917922220747698,0.03417792328172893,0.0035976060788092123,0.4867053073730272,0.20588235294117646,0.13558033606336406,14.584259701968284,0.01889152811135788
81,MOEAD_TCHE,greedy_multi,UX,1,1512656746,89,0.1713891037475845,1.8682539048306146,1.917922220747698,0.03417736200873095,0.0035976060788092123,0.49433728210443334,0.20588235294117646,0.1380631005409053,14.75177304964539,0.019108514313012165
91,MOEAD_TCHE,greedy_multi,UX,1,1512656746,88,0.1713891037475845,1.8682539048306146,1.917922220747698,0.03417795312804327,0.0035976060788092123,0.49219640277494586,0.20588235294117646,0.137293314545782,14.706137169568018,0.01904940047871505
101,MOEAD_TCHE,greedy_multi,UX,1,1512656746,86,0.18049862060874097,1.8604414048306757,1.9137999650417428,0.035763377297437726,0.0035976060788092123,0.48612004123140107,0.20588235294117646,0.13572895633688442,14.553717219198418,0.01885196530984251
111,MOEAD_TCHE,greedy_multi,UX,1,1512656746,84,0.18049862060874097,1.8604414048306757,1.9137999650417428,0.035763369586297986,0.0035976060788092123,0.4895284454033493,0.20588235294117646,0.1356063316565701,14.630171394799055,0.01895099921606095
121,MOEAD_TCHE,greedy_multi,UX,1,1512656746,85,0.1877049666353954,1.8519565170917645,1.904026861478169,0.037489813859422856,0.0035976060788092123,0.48925625393146566,0.21428571428571427,0.13499734654184312,14.607394659991657,0.018921495673564322
