config,time_seg
UNSGA3-greedy_ting-HUX,234.10737013816833
UNSGA3-greedy_ting-HUX,252.53466153144836
UNSGA3-greedy_ting-HUX,245.21689534187317
UNSGA3-greedy_ting-HUX,230.9964098930359
UNSGA3-greedy_ting-1P,252.47006630897522
UNSGA3-greedy_ting-1P,234.58101630210876
UNSGA3-greedy_ting-1P,233.67473196983337
UNSGA3-greedy_ting-1P,248.90800428390503
UNSGA3-greedy_ting-1P,256.8980095386505
UNSGA3-greedy_ting-2P,251.71368980407715
UNSGA3-greedy_ting-2P,267.6454236507416
UNSGA3-greedy_ting-2P,225.1285319328308
UNSGA3-greedy_ting-2P,249.82601642608643
UNSGA3-greedy_ting-2P,234.42763090133667
UNSGA3-greedy_multi-UX,245.4923541545868
UNSGA3-greedy_multi-UX,272.54233980178833
UNSGA3-greedy_multi-UX,261.98419737815857
UNSGA3-greedy_multi-UX,256.3716731071472
UNSGA3-greedy_multi-UX,257.192510843277
UNSGA3-greedy_multi-HUX,244.04528260231018
UNSGA3-greedy_multi-HUX,155.7101309299469
UNSGA3-greedy_multi-HUX,205.62729382514954
UNSGA3-greedy_multi-HUX,245.81527304649353
UNSGA3-greedy_multi-HUX,276.0269031524658
UNSGA3-greedy_multi-1P,169.24672174453735
UNSGA3-greedy_multi-1P,266.1631827354431
UNSGA3-greedy_multi-1P,250.30913090705872
UNSGA3-greedy_multi-1P,255.6824061870575
UNSGA3-greedy_multi-1P,227.82856345176697
UNSGA3-greedy_multi-2P,274.04117584228516
UNSGA3-greedy_multi-2P,210.22760438919067
UNSGA3-greedy_multi-2P,265.91003227233887
UNSGA3-greedy_multi-2P,198.4117946624756
UNSGA3-greedy_multi-2P,217.09755563735962
AGEMOEA2-random_dense-UX,508.00944423675537
AGEMOEA2-random_dense-UX,487.44957399368286
AGEMOEA2-random_dense-UX,523.4057404994965
AGEMOEA2-random_dense-UX,467.9446096420288
AGEMOEA2-random_dense-UX,452.8649957180023
AGEMOEA2-random_dense-HUX,514.79638504982
AGEMOEA2-random_dense-HUX,482.73176765441895
AGEMOEA2-random_dense-HUX,495.27395510673523
AGEMOEA2-random_dense-HUX,473.072705745697
AGEMOEA2-random_dense-HUX,475.20570826530457
AGEMOEA2-random_dense-1P,449.2756564617157
AGEMOEA2-random_dense-1P,442.0010051727295
AGEMOEA2-random_dense-1P,448.07644605636597
AGEMOEA2-random_dense-1P,446.23229146003723
AGEMOEA2-random_dense-1P,587.374273777008
AGEMOEA2-random_dense-2P,409.6017918586731
AGEMOEA2-random_dense-2P,410.79182481765747
AGEMOEA2-random_dense-2P,508.4448416233063
AGEMOEA2-random_dense-2P,521.4280917644501
AGEMOEA2-random_dense-2P,483.4878935813904
AGEMOEA2-greedy_ting-UX,526.8901755809784
AGEMOEA2-greedy_ting-UX,454.83291721343994
AGEMOEA2-greedy_ting-UX,432.36340284347534
AGEMOEA2-greedy_ting-UX,560.8002753257751
AGEMOEA2-greedy_ting-UX,522.1391561031342
AGEMOEA2-greedy_ting-HUX,400.85253858566284
AGEMOEA2-greedy_ting-HUX,385.48518538475037
AGEMOEA2-greedy_ting-HUX,372.7277545928955
AGEMOEA2-greedy_ting-HUX,469.1552529335022
AGEMOEA2-greedy_ting-HUX,450.82399916648865
AGEMOEA2-greedy_ting-1P,496.79010105133057
AGEMOEA2-greedy_ting-1P,584.9336886405945
AGEMOEA2-greedy_ting-1P,447.7826201915741
AGEMOEA2-greedy_ting-1P,521.4710366725922
AGEMOEA2-greedy_ting-1P,493.6715135574341
AGEMOEA2-greedy_ting-2P,519.82244181633
AGEMOEA2-greedy_ting-2P,404.5668270587921
AGEMOEA2-greedy_ting-2P,376.2446994781494
AGEMOEA2-greedy_ting-2P,462.0364315509796
AGEMOEA2-greedy_ting-2P,511.6135878562927
AGEMOEA2-greedy_multi-UX,419.6569595336914
AGEMOEA2-greedy_multi-UX,335.201562166214
AGEMOEA2-greedy_multi-UX,284.239706993103
AGEMOEA2-greedy_multi-UX,315.68362188339233
AGEMOEA2-greedy_multi-UX,444.43224453926086
AGEMOEA2-greedy_multi-HUX,361.2351977825165
AGEMOEA2-greedy_multi-HUX,215.37492632865906
